"StationID","SampleDate","SampleDepth","QABatch","Matrix","Dilution","Concentration","ConcentrationUnits","TimePoint","Parameter","Qualifier","Value","ValueUnits","LabRep","LabCode","Comments","SampleType"
"GS00",7/19/2008 0:00:00,,"B0807071batch1a.E","OL",-99.00,-99.00,"NR",4.00,"PH","None","8.4","PH",1,"CLAEMD",,"QA"
"GS00",7/20/2008 0:00:00,,"B0807071batch1a.E","OL",-99.00,-99.00,"NR",5.00,"PH","None","8.39","PH",1,"CLAEMD",,"QA"
"GS00",7/21/2008 0:00:00,,"B0807071batch1a.E","OL",-99.00,-99.00,"NR",6.00,"PH","None","8.43","PH",1,"CLAEMD",,"QA"
"GS00",7/22/2008 0:00:00,,"B0807071batch1a.E","OL",-99.00,-99.00,"NR",7.00,"PH","None","8.51","PH",1,"CLAEMD",,"QA"
"GS00",7/23/2008 0:00:00,,"B0807071batch1a.E","OL",-99.00,-99.00,"NR",8.00,"PH","None","8.3","PH",1,"CLAEMD",,"QA"
"GS00",7/24/2008 0:00:00,,"B0807071batch1a.E","OL",-99.00,-99.00,"NR",9.00,"PH","None","8.33","PH",1,"CLAEMD",,"QA"
"GS00",7/25/2008 0:00:00,,"B0807071batch1a.E","OL",-99.00,-99.00,"NR",10.00,"PH","None","8.51","PH",1,"CLAEMD",,"QA"
"GS00",7/15/2008 0:00:00,,"B0807071batch1a.E","OL",-99.00,-99.00,"NR",0.00,"TEMP","None","15.1","C",1,"CLAEMD",,"QA"
"GS00",7/16/2008 0:00:00,,"B0807071batch1a.E","OL",-99.00,-99.00,"NR",1.00,"TEMP","None","14.5","C",1,"CLAEMD",,"QA"
"GS00",7/17/2008 0:00:00,,"B0807071batch1a.E","OL",-99.00,-99.00,"NR",2.00,"TEMP","None","14.4","C",1,"CLAEMD",,"QA"
"GS00",7/18/2008 0:00:00,,"B0807071batch1a.E","OL",-99.00,-99.00,"NR",3.00,"TEMP","None","14.5","C",1,"CLAEMD",,"QA"
"GS00",7/19/2008 0:00:00,,"B0807071batch1a.E","OL",-99.00,-99.00,"NR",4.00,"TEMP","None","15.3","C",1,"CLAEMD",,"QA"
"GS00",7/20/2008 0:00:00,,"B0807071batch1a.E","OL",-99.00,-99.00,"NR",5.00,"TEMP","None","14.8","C",1,"CLAEMD",,"QA"
"GS00",7/21/2008 0:00:00,,"B0807071batch1a.E","OL",-99.00,-99.00,"NR",6.00,"TEMP","None","14.8","C",1,"CLAEMD",,"QA"
"GS00",7/22/2008 0:00:00,,"B0807071batch1a.E","OL",-99.00,-99.00,"NR",7.00,"TEMP","None","14.4","C",1,"CLAEMD",,"QA"
"GS00",7/23/2008 0:00:00,,"B0807071batch1a.E","OL",-99.00,-99.00,"NR",8.00,"TEMP","None","14.7","C",1,"CLAEMD",,"QA"
"GS00",7/24/2008 0:00:00,,"B0807071batch1a.E","OL",-99.00,-99.00,"NR",9.00,"TEMP","None","14.4","C",1,"CLAEMD",,"QA"
"GS00",7/25/2008 0:00:00,,"B0807071batch1a.E","OL",-99.00,-99.00,"NR",10.00,"TEMP","None","14.5","C",1,"CLAEMD",,"QA"
"GS00",7/14/2008 0:00:00,,"B0807071batch1a.E","IW",-99.00,-99.00,"NR",-1.00,"NH3T","None","14","MG/L",1,"CLAEMD",,"QA"
"GS00",7/14/2008 0:00:00,,"B0807071batch1a.E","IW",-99.00,-99.00,"NR",-1.00,"NH3U","None","1.1","MG/L",1,"CLAEMD",,"QA"
"GS00",7/14/2008 0:00:00,,"B0807071batch1a.E","IW",-99.00,-99.00,"NR",-1.00,"PH","None","8.58","PH",1,"CLAEMD",,"QA"
"GS00",7/14/2008 0:00:00,,"B0807071batch1a.E","IW",-99.00,-99.00,"NR",-1.00,"SAL","None","32","PPT",1,"CLAEMD",,"QA"
"GS00",7/14/2008 0:00:00,,"B0807071batch1a.E","IW",-99.00,-99.00,"NR",-1.00,"TEMP","None","15.2","C",1,"CLAEMD",,"QA"
"GS00",7/29/2008 0:00:00,,"B0807071batch2a.E","OL",-99.00,-99.00,"NR",0.00,"DO","None","9.75","MG/L",1,"CLAEMD",,"QA"
"GS00",8/8/2008 0:00:00,,"B0807071batch2a.E","OL",-99.00,-99.00,"NR",10.00,"DO","None","9.98","MG/L",1,"CLAEMD",,"QA"
"GS00",7/29/2008 0:00:00,,"B0807071batch2a.E","OL",-99.00,-99.00,"NR",0.00,"NH3T","None","1.79","MG/L",1,"CLAEMD",,"QA"
"GS00",8/8/2008 0:00:00,,"B0807071batch2a.E","OL",-99.00,-99.00,"NR",10.00,"NH3T","None","0.44","MG/L",1,"CLAEMD",,"QA"
"GS00",7/29/2008 0:00:00,,"B0807071batch2a.E","OL",-99.00,-99.00,"NR",0.00,"NH3U","None","0.064","MG/L",1,"CLAEMD",,"QA"
"GS00",8/8/2008 0:00:00,,"B0807071batch2a.E","OL",-99.00,-99.00,"NR",10.00,"NH3U","None","0.029","MG/L",1,"CLAEMD",,"QA"
"GS00",7/29/2008 0:00:00,,"B0807071batch2a.E","OL",-99.00,-99.00,"NR",0.00,"SAL","None","32","PPT",1,"CLAEMD",,"QA"
"GS00",8/8/2008 0:00:00,,"B0807071batch2a.E","OL",-99.00,-99.00,"NR",10.00,"SAL","None","33","PPT",1,"CLAEMD",,"QA"
"GS00",7/29/2008 0:00:00,,"B0807071batch2a.E","OL",-99.00,-99.00,"NR",0.00,"PH","None","8.21","PH",1,"CLAEMD",,"QA"
"GS00",7/30/2008 0:00:00,,"B0807071batch2a.E","OL",-99.00,-99.00,"NR",1.00,"PH","None","8.37","PH",1,"CLAEMD",,"QA"
"GS00",7/31/2008 0:00:00,,"B0807071batch2a.E","OL",-99.00,-99.00,"NR",2.00,"PH","None","8.33","PH",1,"CLAEMD",,"QA"
"GS00",8/1/2008 0:00:00,,"B0807071batch2a.E","OL",-99.00,-99.00,"NR",3.00,"PH","None","8.52","PH",1,"CLAEMD",,"QA"
"GS00",8/2/2008 0:00:00,,"B0807071batch2a.E","OL",-99.00,-99.00,"NR",4.00,"PH","None","8.46","PH",1,"CLAEMD",,"QA"
"GS00",8/3/2008 0:00:00,,"B0807071batch2a.E","OL",-99.00,-99.00,"NR",5.00,"PH","None","8.4","PH",1,"CLAEMD",,"QA"
"GS00",8/4/2008 0:00:00,,"B0807071batch2a.E","OL",-99.00,-99.00,"NR",6.00,"PH","None","8.44","PH",1,"CLAEMD",,"QA"
"GS00",8/5/2008 0:00:00,,"B0807071batch2a.E","OL",-99.00,-99.00,"NR",7.00,"PH","None","8.56","PH",1,"CLAEMD",,"QA"
"GS00",8/6/2008 0:00:00,,"B0807071batch2a.E","OL",-99.00,-99.00,"NR",8.00,"PH","None","8.45","PH",1,"CLAEMD",,"QA"
"GS00",8/7/2008 0:00:00,,"B0807071batch2a.E","OL",-99.00,-99.00,"NR",9.00,"PH","None","8.32","PH",1,"CLAEMD",,"QA"
"GS00",8/8/2008 0:00:00,,"B0807071batch2a.E","OL",-99.00,-99.00,"NR",10.00,"PH","None","8.48","PH",1,"CLAEMD",,"QA"
"GS00",7/29/2008 0:00:00,,"B0807071batch2a.E","OL",-99.00,-99.00,"NR",0.00,"TEMP","None","15.3","C",1,"CLAEMD",,"QA"
"GS00",7/30/2008 0:00:00,,"B0807071batch2a.E","OL",-99.00,-99.00,"NR",1.00,"TEMP","None","15","C",1,"CLAEMD",,"QA"
"GS00",7/31/2008 0:00:00,,"B0807071batch2a.E","OL",-99.00,-99.00,"NR",2.00,"TEMP","None","15.5","C",1,"CLAEMD",,"QA"
"GS00",8/1/2008 0:00:00,,"B0807071batch2a.E","OL",-99.00,-99.00,"NR",3.00,"TEMP","None","16","C",1,"CLAEMD",,"QA"
"GS00",8/2/2008 0:00:00,,"B0807071batch2a.E","OL",-99.00,-99.00,"NR",4.00,"TEMP","None","15.3","C",1,"CLAEMD",,"QA"
"GS00",8/3/2008 0:00:00,,"B0807071batch2a.E","OL",-99.00,-99.00,"NR",5.00,"TEMP","None","15.2","C",1,"CLAEMD",,"QA"
"GS00",8/4/2008 0:00:00,,"B0807071batch2a.E","OL",-99.00,-99.00,"NR",6.00,"TEMP","None","15.4","C",1,"CLAEMD",,"QA"
"GS00",8/5/2008 0:00:00,,"B0807071batch2a.E","OL",-99.00,-99.00,"NR",7.00,"TEMP","None","15.1","C",1,"CLAEMD",,"QA"
"GS00",8/6/2008 0:00:00,,"B0807071batch2a.E","OL",-99.00,-99.00,"NR",8.00,"TEMP","None","15.2","C",1,"CLAEMD",,"QA"
"GS00",8/7/2008 0:00:00,,"B0807071batch2a.E","OL",-99.00,-99.00,"NR",9.00,"TEMP","None","15.3","C",1,"CLAEMD",,"QA"
"GS00",8/8/2008 0:00:00,,"B0807071batch2a.E","OL",-99.00,-99.00,"NR",10.00,"TEMP","None","15.4","C",1,"CLAEMD",,"QA"
"GS00",7/25/2008 0:00:00,,"B0807071batch2a.E","IW",-99.00,-99.00,"NR",-4.00,"NH3T","None","16","MG/L",1,"CLAEMD",,"QA"
"GS00",7/25/2008 0:00:00,,"B0807071batch2a.E","IW",-99.00,-99.00,"NR",-4.00,"NH3U","None","0.33","MG/L",1,"CLAEMD",,"QA"
"GS00",7/25/2008 0:00:00,,"B0807071batch2a.E","IW",-99.00,-99.00,"NR",-4.00,"PH","None","7.9","PH",1,"CLAEMD",,"QA"
"GS00",7/25/2008 0:00:00,,"B0807071batch2a.E","IW",-99.00,-99.00,"NR",-4.00,"SAL","None","34","PPT",1,"CLAEMD",,"QA"
"GS00",7/25/2008 0:00:00,,"B0807071batch2a.E","IW",-99.00,-99.00,"NR",-4.00,"TEMP","None","17.6","C",1,"CLAEMD",,"QA"
"GS00",8/12/2008 0:00:00,,"B0808071batch3a.E","OL",-99.00,-99.00,"NR",0.00,"DO","None","7.97","MG/L",1,"CLAEMD",,"QA"
"GS00",8/22/2008 0:00:00,,"B0808071batch3a.E","OL",-99.00,-99.00,"NR",10.00,"DO","None","8.09","MG/L",1,"CLAEMD",,"QA"
"GS00",8/12/2008 0:00:00,,"B0808071batch3a.E","OL",-99.00,-99.00,"NR",0.00,"NH3T","None","1.77","MG/L",1,"CLAEMD",,"QA"
"GS00",8/22/2008 0:00:00,,"B0808071batch3a.E","OL",-99.00,-99.00,"NR",10.00,"NH3T","None","1.53","MG/L",1,"CLAEMD",,"QA"
"GS00",8/12/2008 0:00:00,,"B0808071batch3a.E","OL",-99.00,-99.00,"NR",0.00,"NH3U","None","0.067","MG/L",1,"CLAEMD",,"QA"
"GS00",8/22/2008 0:00:00,,"B0808071batch3a.E","OL",-99.00,-99.00,"NR",10.00,"NH3U","None","0.095","MG/L",1,"CLAEMD",,"QA"
"GS00",8/12/2008 0:00:00,,"B0808071batch3a.E","OL",-99.00,-99.00,"NR",0.00,"SAL","None","32","PPT",1,"CLAEMD",,"QA"
"GS00",8/22/2008 0:00:00,,"B0808071batch3a.E","OL",-99.00,-99.00,"NR",10.00,"SAL","None","32","PPT",1,"CLAEMD",,"QA"
"GS00",8/12/2008 0:00:00,,"B0808071batch3a.E","OL",-99.00,-99.00,"NR",0.00,"PH","None","8.25","PH",1,"CLAEMD",,"QA"
"GS00",8/13/2008 0:00:00,,"B0808071batch3a.E","OL",-99.00,-99.00,"NR",1.00,"PH","None","8.26","PH",1,"CLAEMD",,"QA"
"GS00",8/14/2008 0:00:00,,"B0808071batch3a.E","OL",-99.00,-99.00,"NR",2.00,"PH","None","8.33","PH",1,"CLAEMD",,"QA"
"GS00",8/15/2008 0:00:00,,"B0808071batch3a.E","OL",-99.00,-99.00,"NR",3.00,"PH","None","8.39","PH",1,"CLAEMD",,"QA"
"GS00",8/16/2008 0:00:00,,"B0808071batch3a.E","OL",-99.00,-99.00,"NR",4.00,"PH","None","8.47","PH",1,"CLAEMD",,"QA"
"GS00",8/17/2008 0:00:00,,"B0808071batch3a.E","OL",-99.00,-99.00,"NR",5.00,"PH","None","8.4","PH",1,"CLAEMD",,"QA"
"GS00",8/18/2008 0:00:00,,"B0808071batch3a.E","OL",-99.00,-99.00,"NR",6.00,"PH","None","8.43","PH",1,"CLAEMD",,"QA"
"GS00",8/19/2008 0:00:00,,"B0808071batch3a.E","OL",-99.00,-99.00,"NR",7.00,"PH","None","8.46","PH",1,"CLAEMD",,"QA"
"GS00",8/20/2008 0:00:00,,"B0808071batch3a.E","OL",-99.00,-99.00,"NR",8.00,"PH","None","8.44","PH",1,"CLAEMD",,"QA"
"GS00",8/21/2008 0:00:00,,"B0808071batch3a.E","OL",-99.00,-99.00,"NR",9.00,"PH","None","8.4","PH",1,"CLAEMD",,"QA"
"GS00",8/22/2008 0:00:00,,"B0808071batch3a.E","OL",-99.00,-99.00,"NR",10.00,"PH","None","8.48","PH",1,"CLAEMD",,"QA"
"GS00",8/12/2008 0:00:00,,"B0808071batch3a.E","OL",-99.00,-99.00,"NR",0.00,"TEMP","None","14.9","C",1,"CLAEMD",,"QA"
"GS00",8/13/2008 0:00:00,,"B0808071batch3a.E","OL",-99.00,-99.00,"NR",1.00,"TEMP","None","14.9","C",1,"CLAEMD",,"QA"
"GS00",8/14/2008 0:00:00,,"B0808071batch3a.E","OL",-99.00,-99.00,"NR",2.00,"TEMP","None","15","C",1,"CLAEMD",,"QA"
"GS00",8/15/2008 0:00:00,,"B0808071batch3a.E","OL",-99.00,-99.00,"NR",3.00,"TEMP","None","15.2","C",1,"CLAEMD",,"QA"
"GS00",8/16/2008 0:00:00,,"B0808071batch3a.E","OL",-99.00,-99.00,"NR",4.00,"TEMP","None","15","C",1,"CLAEMD",,"QA"
"GS00",8/17/2008 0:00:00,,"B0808071batch3a.E","OL",-99.00,-99.00,"NR",5.00,"TEMP","None","15","C",1,"CLAEMD",,"QA"
"GS00",8/18/2008 0:00:00,,"B0808071batch3a.E","OL",-99.00,-99.00,"NR",6.00,"TEMP","None","14.7","C",1,"CLAEMD",,"QA"
"GS00",8/19/2008 0:00:00,,"B0808071batch3a.E","OL",-99.00,-99.00,"NR",7.00,"TEMP","None","14.7","C",1,"CLAEMD",,"QA"
"GS00",8/20/2008 0:00:00,,"B0808071batch3a.E","OL",-99.00,-99.00,"NR",8.00,"TEMP","None","14.7","C",1,"CLAEMD",,"QA"
"GS00",8/21/2008 0:00:00,,"B0808071batch3a.E","OL",-99.00,-99.00,"NR",9.00,"TEMP","None","14.8","C",1,"CLAEMD",,"QA"
"GS00",8/22/2008 0:00:00,,"B0808071batch3a.E","OL",-99.00,-99.00,"NR",10.00,"TEMP","None","14.7","C",1,"CLAEMD",,"QA"
"GS00",8/11/2008 0:00:00,,"B0808071batch3a.E","IW",-99.00,-99.00,"NR",-1.00,"NH3T","None","21","MG/L",1,"CLAEMD",,"QA"
"GS00",8/11/2008 0:00:00,,"B0808071batch3a.E","IW",-99.00,-99.00,"NR",-1.00,"NH3U","None","0.54","MG/L",1,"CLAEMD",,"QA"
"GS00",8/11/2008 0:00:00,,"B0808071batch3a.E","IW",-99.00,-99.00,"NR",-1.00,"PH","None","8.07","PH",1,"CLAEMD",,"QA"
"GS00",8/11/2008 0:00:00,,"B0808071batch3a.E","IW",-99.00,-99.00,"NR",-1.00,"SAL","None","32","PPT",1,"CLAEMD",,"QA"
"GS00",8/11/2008 0:00:00,,"B0808071batch3a.E","IW",-99.00,-99.00,"NR",-1.00,"TEMP","None","15.1","C",1,"CLAEMD",,"QA"
"GS00",9/22/2008 0:00:00,,"B0809071batch4a.E","OL",-99.00,-99.00,"NR",0.00,"DO","None","8.03","MG/L",1,"CLAEMD",,"QA"
"GS00",10/2/2008 0:00:00,,"B0809071batch4a.E","OL",-99.00,-99.00,"NR",10.00,"DO","None","8.21","MG/L",1,"CLAEMD",,"QA"
"GS00",9/22/2008 0:00:00,,"B0809071batch4a.E","OL",-99.00,-99.00,"NR",0.00,"NH3T","None","1.71","MG/L",1,"CLAEMD",,"QA"
"GS00",10/2/2008 0:00:00,,"B0809071batch4a.E","OL",-99.00,-99.00,"NR",10.00,"NH3T","None","1.09","MG/L",1,"CLAEMD",,"QA"
"GS00",9/22/2008 0:00:00,,"B0809071batch4a.E","OL",-99.00,-99.00,"NR",0.00,"NH3U","None","0.062","MG/L",1,"CLAEMD",,"QA"
"GS00",10/2/2008 0:00:00,,"B0809071batch4a.E","OL",-99.00,-99.00,"NR",10.00,"NH3U","None","0.06","MG/L",1,"CLAEMD",,"QA"
"GS00",9/22/2008 0:00:00,,"B0809071batch4a.E","OL",-99.00,-99.00,"NR",0.00,"SAL","None","32","PPT",1,"CLAEMD",,"QA"
"GS00",10/2/2008 0:00:00,,"B0809071batch4a.E","OL",-99.00,-99.00,"NR",10.00,"SAL","None","33","PPT",1,"CLAEMD",,"QA"
"GS00",9/22/2008 0:00:00,,"B0809071batch4a.E","OL",-99.00,-99.00,"NR",0.00,"PH","None","8.23","PH",1,"CLAEMD",,"QA"
"GS00",9/23/2008 0:00:00,,"B0809071batch4a.E","OL",-99.00,-99.00,"NR",1.00,"PH","None","8.27","PH",1,"CLAEMD",,"QA"
"GS00",9/24/2008 0:00:00,,"B0809071batch4a.E","OL",-99.00,-99.00,"NR",2.00,"PH","None","8.41","PH",1,"CLAEMD",,"QA"
"GS00",9/25/2008 0:00:00,,"B0809071batch4a.E","OL",-99.00,-99.00,"NR",3.00,"PH","None","8.47","PH",1,"CLAEMD",,"QA"
"GS00",9/26/2008 0:00:00,,"B0809071batch4a.E","OL",-99.00,-99.00,"NR",4.00,"PH","None","8.56","PH",1,"CLAEMD",,"QA"
"GS00",9/27/2008 0:00:00,,"B0809071batch4a.E","OL",-99.00,-99.00,"NR",5.00,"PH","None","8.59","PH",1,"CLAEMD",,"QA"
"GS00",9/28/2008 0:00:00,,"B0809071batch4a.E","OL",-99.00,-99.00,"NR",6.00,"PH","None","8.55","PH",1,"CLAEMD",,"QA"
"GS00",9/29/2008 0:00:00,,"B0809071batch4a.E","OL",-99.00,-99.00,"NR",7.00,"PH","None","8.61","PH",1,"CLAEMD",,"QA"
"GS00",9/30/2008 0:00:00,,"B0809071batch4a.E","OL",-99.00,-99.00,"NR",8.00,"PH","None","8.47","PH",1,"CLAEMD",,"QA"
"GS00",10/1/2008 0:00:00,,"B0809071batch4a.E","OL",-99.00,-99.00,"NR",9.00,"PH","None","8.44","PH",1,"CLAEMD",,"QA"
"GS00",10/2/2008 0:00:00,,"B0809071batch4a.E","OL",-99.00,-99.00,"NR",10.00,"PH","None","8.42","PH",1,"CLAEMD",,"QA"
"GS00",9/22/2008 0:00:00,,"B0809071batch4a.E","OL",-99.00,-99.00,"NR",0.00,"TEMP","None","14.8","C",1,"CLAEMD",,"QA"
"GS00",9/23/2008 0:00:00,,"B0809071batch4a.E","OL",-99.00,-99.00,"NR",1.00,"TEMP","None","14.8","C",1,"CLAEMD",,"QA"
"GS00",9/24/2008 0:00:00,,"B0809071batch4a.E","OL",-99.00,-99.00,"NR",2.00,"TEMP","None","14.9","C",1,"CLAEMD",,"QA"
"GS00",9/25/2008 0:00:00,,"B0809071batch4a.E","OL",-99.00,-99.00,"NR",3.00,"TEMP","None","14.8","C",1,"CLAEMD",,"QA"
"GS00",9/26/2008 0:00:00,,"B0809071batch4a.E","OL",-99.00,-99.00,"NR",4.00,"TEMP","None","15","C",1,"CLAEMD",,"QA"
"GS00",9/27/2008 0:00:00,,"B0809071batch4a.E","OL",-99.00,-99.00,"NR",5.00,"TEMP","None","14.9","C",1,"CLAEMD",,"QA"
"GS00",9/28/2008 0:00:00,,"B0809071batch4a.E","OL",-99.00,-99.00,"NR",6.00,"TEMP","None","15.1","C",1,"CLAEMD",,"QA"
"GS00",9/29/2008 0:00:00,,"B0809071batch4a.E","OL",-99.00,-99.00,"NR",7.00,"TEMP","None","14.9","C",1,"CLAEMD",,"QA"
"GS00",9/30/2008 0:00:00,,"B0809071batch4a.E","OL",-99.00,-99.00,"NR",8.00,"TEMP","None","14.9","C",1,"CLAEMD",,"QA"
"GS00",10/1/2008 0:00:00,,"B0809071batch4a.E","OL",-99.00,-99.00,"NR",9.00,"TEMP","None","15","C",1,"CLAEMD",,"QA"
"GS00",10/2/2008 0:00:00,,"B0809071batch4a.E","OL",-99.00,-99.00,"NR",10.00,"TEMP","None","14.9","C",1,"CLAEMD",,"QA"
"GS00",9/25/2008 0:00:00,,"B0809071batch4a.E","IW",-99.00,-99.00,"NR",3.00,"NH3T","None","26","MG/L",1,"CLAEMD",,"QA"
"GS00",9/25/2008 0:00:00,,"B0809071batch4a.E","IW",-99.00,-99.00,"NR",3.00,"NH3U","None","0.408","MG/L",1,"CLAEMD",,"QA"
"GS00",9/25/2008 0:00:00,,"B0809071batch4a.E","IW",-99.00,-99.00,"NR",3.00,"PH","None","7.78","PH",1,"CLAEMD",,"QA"
"GS00",9/25/2008 0:00:00,,"B0809071batch4a.E","IW",-99.00,-99.00,"NR",3.00,"SAL","None","34","PPT",1,"CLAEMD",,"QA"
"GS00",9/25/2008 0:00:00,,"B0809071batch4a.E","IW",-99.00,-99.00,"NR",3.00,"TEMP","None","17.5","C",1,"CLAEMD",,"QA"
"0000",7/15/2008 0:00:00,,"B0807071batch1a.E","OL",-99.00,-99.00,"NR",0.00,"DO","None","9.78","MG/L",1,"CLAEMD",,"CNEG"
"0000",7/25/2008 0:00:00,,"B0807071batch1a.E","OL",-99.00,-99.00,"NR",10.00,"DO","None","10.48","MG/L",1,"CLAEMD",,"CNEG"
"0000",7/15/2008 0:00:00,,"B0807071batch1a.E","OL",-99.00,-99.00,"NR",0.00,"NH3T","None","0","MG/L",1,"CLAEMD",,"CNEG"
"0000",7/25/2008 0:00:00,,"B0807071batch1a.E","OL",-99.00,-99.00,"NR",10.00,"NH3T","None","0.11","MG/L",1,"CLAEMD",,"CNEG"
"0000",7/15/2008 0:00:00,,"B0807071batch1a.E","OL",-99.00,-99.00,"NR",0.00,"NH3U","None","0","MG/L",1,"CLAEMD",,"CNEG"
"0000",7/25/2008 0:00:00,,"B0807071batch1a.E","OL",-99.00,-99.00,"NR",10.00,"NH3U","None","0.005","MG/L",1,"CLAEMD",,"CNEG"
"0000",7/15/2008 0:00:00,,"B0807071batch1a.E","OL",-99.00,-99.00,"NR",0.00,"SAL","None","32","PPT",1,"CLAEMD",,"CNEG"
"0000",7/25/2008 0:00:00,,"B0807071batch1a.E","OL",-99.00,-99.00,"NR",10.00,"SAL","None","32","PPT",1,"CLAEMD",,"CNEG"
"0000",7/15/2008 0:00:00,,"B0807071batch1a.E","OL",-99.00,-99.00,"NR",0.00,"PH","None","8.32","PH",1,"CLAEMD",,"CNEG"
"0000",7/16/2008 0:00:00,,"B0807071batch1a.E","OL",-99.00,-99.00,"NR",1.00,"PH","None","8.25","PH",1,"CLAEMD",,"CNEG"
"0000",7/17/2008 0:00:00,,"B0807071batch1a.E","OL",-99.00,-99.00,"NR",2.00,"PH","None","8.25","PH",1,"CLAEMD",,"CNEG"
"0000",7/18/2008 0:00:00,,"B0807071batch1a.E","OL",-99.00,-99.00,"NR",3.00,"PH","None","8.22","PH",1,"CLAEMD",,"CNEG"
"0000",7/19/2008 0:00:00,,"B0807071batch1a.E","OL",-99.00,-99.00,"NR",4.00,"PH","None","8.36","PH",1,"CLAEMD",,"CNEG"
"0000",7/20/2008 0:00:00,,"B0807071batch1a.E","OL",-99.00,-99.00,"NR",5.00,"PH","None","8.35","PH",1,"CLAEMD",,"CNEG"
"0000",7/21/2008 0:00:00,,"B0807071batch1a.E","OL",-99.00,-99.00,"NR",6.00,"PH","None","8.29","PH",1,"CLAEMD",,"CNEG"
"0000",7/22/2008 0:00:00,,"B0807071batch1a.E","OL",-99.00,-99.00,"NR",7.00,"PH","None","8.39","PH",1,"CLAEMD",,"CNEG"
"0000",7/23/2008 0:00:00,,"B0807071batch1a.E","OL",-99.00,-99.00,"NR",8.00,"PH","None","8.4","PH",1,"CLAEMD",,"CNEG"
"0000",7/24/2008 0:00:00,,"B0807071batch1a.E","OL",-99.00,-99.00,"NR",9.00,"PH","None","8.22","PH",1,"CLAEMD",,"CNEG"
"0000",7/25/2008 0:00:00,,"B0807071batch1a.E","OL",-99.00,-99.00,"NR",10.00,"PH","None","8.37","PH",1,"CLAEMD",,"CNEG"
"0000",7/15/2008 0:00:00,,"B0807071batch1a.E","OL",-99.00,-99.00,"NR",0.00,"TEMP","None","14.9","C",1,"CLAEMD",,"CNEG"
"0000",7/16/2008 0:00:00,,"B0807071batch1a.E","OL",-99.00,-99.00,"NR",1.00,"TEMP","None","14.2","C",1,"CLAEMD",,"CNEG"
"0000",7/17/2008 0:00:00,,"B0807071batch1a.E","OL",-99.00,-99.00,"NR",2.00,"TEMP","None","14.6","C",1,"CLAEMD",,"CNEG"
"0000",7/18/2008 0:00:00,,"B0807071batch1a.E","OL",-99.00,-99.00,"NR",3.00,"TEMP","None","14.6","C",1,"CLAEMD",,"CNEG"
"0000",7/19/2008 0:00:00,,"B0807071batch1a.E","OL",-99.00,-99.00,"NR",4.00,"TEMP","None","14.8","C",1,"CLAEMD",,"CNEG"
"0000",7/20/2008 0:00:00,,"B0807071batch1a.E","OL",-99.00,-99.00,"NR",5.00,"TEMP","None","14.6","C",1,"CLAEMD",,"CNEG"
"0000",7/21/2008 0:00:00,,"B0807071batch1a.E","OL",-99.00,-99.00,"NR",6.00,"TEMP","None","14.7","C",1,"CLAEMD",,"CNEG"
"0000",7/22/2008 0:00:00,,"B0807071batch1a.E","OL",-99.00,-99.00,"NR",7.00,"TEMP","None","14.4","C",1,"CLAEMD",,"CNEG"
