"B08Component","SampleType","B08_StationID","NominalLongitude","Orig_Survey","StratumB08","StratumB08_Actual","Region","RHMP","RHMP_stratum","RHMP_name","SD_Intense","PanelStatus","Abandoned","EvalStatus","EvalCode","EvalCodeReason","Replaced_ID","Replacement_ID","counter","sumTS","sumTNS","sumNT","sumNN","DisjointPolygonArea","DisjPolyArea_Adj","DisjPolyArea_AdjB","areawt_Unadj","areawt_Unadj4FRAMEERROR","areawt_Adj","areawt_AdjB","AREAWT_Final","GIS_Area_sqkm","FinalEstStratumArea","AdditionalComments","SCCWRP_SiteID","Orig_StationID","FinalPanel","MSPanel","Filename","EvalCode2","EvalCode2Reason","SampleLatitude","SampleLongitude","SampleDepth","InDepthRange","Region_Code","SD_CoPer_Lagoon","SD_Lagoon_Name","BenthicStation","SedGrabAttempt","SuccessSedGrab","SedGrabFailCode","SedGrabFailReason","SuccessBenthic","SumDisjPoly","SumDisjPolyArea_Adj","LastChangeDate","ToxicityStation","SuccessTox","CounterB","BsumTS","BsumTNS","BsumNT","BsumNN","areawt_FINALB","sameweight","adjust","Comments","AnalysisLatitude","AnalysisLongitude","AnalysisDepth"
"Coastal Ecology","Toxicity","6437",-118.17,"B98","Bay","Bay","Los Angeles/Long Beach","N","NA","NA","N","Panel1",0,"Eval","TS","Targetted Sampled",,"NA",11.00,16.00,0.00,0.00,0.00,32.66,32.66,32.66,2.04,2.04,2.04,2.04,2.04,70.00,70.00,,"MSBight98-063",2156.00,"B98_NSD_TCB_Panel_1","MSB98Panel_1","B03_and_B98_Panel1_043008.shp","TS","Targetted Sampled",33.74,-118.17,14.00,"Y","2","N","NA",,"Y","Y","None","No Failure","Y",70.00,70.00,1/13/2010 18:25:21,"Y","Y",11.00,16.00,0.00,0.00,0.00,2.04,"Y","N",,33.73,-118.17,14.00
"Coastal Ecology","Toxicity","6444",-118.15,"B98","Bay","Bay","Los Angeles/Long Beach","N","NA","NA","N","Panel1",0,"Eval","TS","Targetted Sampled",,"NA",12.00,16.00,0.00,0.00,0.00,32.66,32.66,32.66,2.04,2.04,2.04,2.04,2.04,70.00,70.00,,"MSBight98-047",2157.00,"B98_NSD_TCB_Panel_1","MSB98Panel_1","B03_and_B98_Panel1_043008.shp","TS","Targetted Sampled",33.74,-118.15,12.00,"Y","2","N","NA",,"Y","Y","None","No Failure","Y",70.00,70.00,1/13/2010 18:25:21,"Y","Y",12.00,16.00,0.00,0.00,0.00,2.04,"Y","N",,33.74,-118.15,11.00
"Coastal Ecology","Toxicity","6447",-118.16,"B08","Bay","Bay","Los Angeles/Long Beach","N","NA","NA","N","Panel1",0,"Eval","TS","Targetted Sampled",,"NA",13.00,16.00,0.00,0.00,0.00,32.66,32.66,32.66,2.04,2.04,2.04,2.04,2.04,70.00,70.00,,"Bight08_SiteID-0014",6447.00,"B08_NSD_Panel_1","NA","Bight08_Sites_04222008.shp","TS","Targetted Sampled",33.74,-118.16,12.00,"Y","2","N","NA",,"Y","Y","None","No Failure","Y",70.00,70.00,1/13/2010 18:25:21,"Y","Y",13.00,16.00,0.00,0.00,0.00,2.04,"Y","N",,33.74,-118.16,12.00
"Coastal Ecology","Toxicity","6448",-118.16,"B03","Bay","Bay","Los Angeles/Long Beach","N","NA","NA","N","Panel1",0,"Eval","TS","Targetted Sampled",,"NA",14.00,16.00,0.00,0.00,0.00,32.66,32.66,32.66,2.04,2.04,2.04,2.04,2.04,70.00,70.00,,"MSBight03-4098",4098.00,"B03_NSD_TCB_Panel_1","MSB03Panel_1","B03_and_B98_Panel1_043008.shp","TS","Targetted Sampled",33.74,-118.16,12.00,"Y","2","N","NA",,"Y","Y","None","No Failure","Y",70.00,70.00,1/13/2010 18:25:21,"Y","Y",14.00,16.00,0.00,0.00,0.00,2.04,"Y","N",,33.74,-118.16,13.00
"Coastal Ecology","Toxicity","6462",-118.17,"B08","Bay","Bay","Los Angeles/Long Beach","N","NA","NA","N","Panel1",0,"Eval","TS","Targetted Sampled",,"NA",15.00,16.00,0.00,0.00,0.00,32.66,32.66,32.66,2.04,2.04,2.04,2.04,2.04,70.00,70.00,,"Bight08_SiteID-0142",6462.00,"B08_NSD_Panel_1","NA","Bight08_Sites_04222008.shp","TS","Targetted Sampled",33.75,-118.17,10.00,"Y","2","N","NA",,"Y","Y","None","No Failure","Y",70.00,70.00,1/13/2010 18:25:21,"Y","Y",15.00,16.00,0.00,0.00,0.00,2.04,"Y","N",,33.75,-118.17,11.00
"Coastal Ecology","Toxicity","6478",-118.16,"B98","Bay","Bay","Los Angeles/Long Beach","N","NA","NA","N","Panel1",0,"Eval","TS","Targetted Sampled",,"NA",16.00,16.00,0.00,0.00,0.00,32.66,32.66,32.66,2.04,2.04,2.04,2.04,2.04,70.00,70.00,,"MSBight98-015",2152.00,"B98_NSD_TCB_Panel_1","MSB98Panel_1","B03_and_B98_Panel1_043008.shp","TS","Targetted Sampled",33.75,-118.16,6.00,"Y","2","N","NA",,"Y","Y","None","No Failure","Y",70.00,70.00,1/13/2010 18:25:21,"Y","Y",16.00,16.00,0.00,0.00,0.00,2.04,"Y","N",,33.75,-118.16,6.00
"Coastal Ecology","Toxicity","6212",-117.24,"B03","Bay","Bay","Mission Bay","Y","Deep","Mission Bay-Deep","N","Panel1",0,"Eval","TS","Targetted Sampled",,"NA",1.00,1.00,0.00,0.00,0.00,0.57,0.57,0.57,0.56,0.56,0.56,0.56,0.56,70.00,70.00,,"MSBight03-4020",4020.00,"B03RHMP_Panel_1","MSB03Panel_1","B03_and_B98_Panel1_043008.shp","TS","Targetted Sampled",32.76,-117.24,6.21,"Y","1","N","NA",,"Y","Y","None","No Failure","Y",70.00,70.00,1/13/2010 18:25:20,"Y","Y",1.00,1.00,0.00,0.00,0.00,0.56,"Y","N",,32.76,-117.24,6.21
"Coastal Ecology","Toxicity","6084",-117.13,"B98","Bay","Bay","San Diego Bay","Y","Deep","San Diego Bay-Deep","N","Panel1",0,"Eval","TS","Targetted Sampled",,"NA",1.00,6.00,0.00,0.00,0.00,12.06,12.06,12.06,2.00,2.00,2.00,2.00,2.00,70.00,70.00,,"MSBight98-037",2241.00,"B98RHMP_Panel_1","MSB98Panel_1","B03_and_B98_Panel1_043008.shp","TS","Targetted Sampled",32.67,-117.13,4.81,"Y","1","N","NA",,"Y","Y","None","No Failure","Y",70.00,70.00,1/13/2010 18:25:20,"Y","Y",1.00,6.00,0.00,0.00,0.00,2.00,"Y","N",,32.67,-117.13,4.81
"Coastal Ecology","Toxicity","6093",-117.14,"B03","Bay","Bay","San Diego Bay","Y","Deep","San Diego Bay-Deep","N","Panel1",0,"Eval","TS","Targetted Sampled",,"NA",2.00,6.00,0.00,0.00,0.00,12.06,12.06,12.06,2.00,2.00,2.00,2.00,2.00,70.00,70.00,,"MSBight03-4028",4028.00,"B03RHMP_Panel_1","MSB03Panel_1","B03_and_B98_Panel1_043008.shp","TS","Targetted Sampled",32.67,-117.14,4.60,"Y","1","N","NA",,"Y","Y","None","No Failure","Y",70.00,70.00,1/13/2010 18:25:20,"Y","Y",2.00,6.00,0.00,0.00,0.00,2.00,"Y","N",,32.67,-117.14,4.60
"Coastal Ecology","Toxicity","6106",-117.14,"B08","Bay","Bay","San Diego Bay","Y","Deep","San Diego Bay-Deep","N","Panel1",0,"Eval","TS","Targetted Sampled",,"NA",3.00,6.00,0.00,0.00,0.00,12.06,12.06,12.06,2.00,2.00,2.00,2.00,2.00,70.00,70.00,,"Bight08_SiteID-0105",6106.00,"B08RHMP_Panel_1","NA","Bight08_Sites_04222008.shp","TS","Targetted Sampled",32.68,-117.14,4.51,"Y","1","N","NA",,"Y","Y","None","No Failure","Y",70.00,70.00,1/13/2010 18:25:20,"Y","Y",3.00,6.00,0.00,0.00,0.00,2.00,"Y","N",,32.68,-117.14,4.51
"Coastal Ecology","Toxicity","6138",-117.22,"B08","Bay","Bay","San Diego Bay","Y","Deep","San Diego Bay-Deep","N","Panel1",0,"Eval","TS","Targetted Sampled",,"NA",4.00,6.00,0.00,0.00,0.00,12.06,12.06,12.06,2.00,2.00,2.00,2.00,2.00,70.00,70.00,,"Bight08_SiteID-0005",6138.00,"B08RHMP_Panel_1","NA","Bight08_Sites_04222008.shp","TS","Targetted Sampled",32.70,-117.22,10.30,"Y","1","N","NA",,"Y","Y","None","No Failure","Y",70.00,70.00,1/13/2010 18:25:20,"Y","Y",4.00,6.00,0.00,0.00,0.00,2.00,"Y","N",,32.70,-117.22,10.30
"Coastal Ecology","Toxicity","6152",-117.18,"B98","Bay","Bay","San Diego Bay","Y","Deep","San Diego Bay-Deep","N","Panel1",0,"Eval","TS","Targetted Sampled",,"NA",5.00,6.00,0.00,0.00,0.00,12.06,12.06,12.06,2.00,2.00,2.00,2.00,2.00,70.00,70.00,,"MSBight98-069",2436.00,"B98RHMP_Panel_1","MSB98Panel_1","B03_and_B98_Panel1_043008.shp","TS","Targetted Sampled",32.71,-117.18,12.28,"Y","1","N","NA",,"Y","Y","None","No Failure","Y",70.00,70.00,1/13/2010 18:25:20,"Y","Y",5.00,6.00,0.00,0.00,0.00,2.00,"Y","N",,32.71,-117.18,12.28
"Coastal Ecology","Toxicity","6172",-117.18,"B03","Bay","Bay","San Diego Bay","Y","Deep","San Diego Bay-Deep","N","Panel1",0,"Eval","TS","Targetted Sampled",,"NA",6.00,6.00,0.00,0.00,0.00,12.06,12.06,12.06,2.00,2.00,2.00,2.00,2.00,70.00,70.00,,"MSBight03-4092",4092.00,"B03RHMP_Panel_1","MSB03Panel_1","B03_and_B98_Panel1_043008.shp","TS","Targetted Sampled",32.72,-117.18,4.66,"Y","1","N","NA",,"Y","Y","None","No Failure","Y",70.00,70.00,1/13/2010 18:25:20,"Y","Y",6.00,6.00,0.00,0.00,0.00,2.00,"Y","N",,32.72,-117.18,4.66
"Coastal Ecology","Toxicity","6219",-117.20,"B08","Bay","Bay","Mission Bay","Y","Fresh","Mission Bay-Fresh","N","Panel1",0,"Eval","TS","Targetted Sampled",,"NA",1.00,2.00,0.00,0.00,0.00,0.04,0.04,0.04,0.02,0.02,0.02,0.02,0.02,70.00,70.00,,"ALL_RHMP_B08-116",6219.00,"RHMP_Panel_1","NA","ALL_RHMP_B08_05022008_SitesD.shp","TS","Targetted Sampled",32.78,-117.20,2.89,"Y","1","N","NA",,"Y","Y","None","No Failure","Y",70.00,70.00,1/13/2010 18:25:20,"Y","Y",1.00,2.00,0.00,0.00,0.00,0.02,"Y","N",,32.78,-117.20,2.89
"Coastal Ecology","Toxicity","6223",-117.21,"B08","Bay","Bay","Mission Bay","Y","Fresh","Mission Bay-Fresh","N","Panel1",0,"Eval","TS","Targetted Sampled",,"NA",2.00,2.00,0.00,0.00,0.00,0.04,0.04,0.04,0.02,0.02,0.02,0.02,0.02,70.00,70.00,,"ALL_RHMP_B08-136",6223.00,"RHMP_Panel_1","NA","ALL_RHMP_B08_05022008_SitesD.shp","TS","Targetted Sampled",32.79,-117.22,1.52,"Y","1","N","NA",,"Y","Y","None","No Failure","Y",70.00,70.00,1/13/2010 18:25:20,"Y","Y",2.00,2.00,0.00,0.00,0.00,0.02,"Y","N",,32.79,-117.22,1.52
"Coastal Ecology","Toxicity","6039",-117.11,"B08","Bay","Bay","San Diego Bay","Y","Fresh","San Diego Bay-Fresh","N","Panel1",0,"Eval","TS","Targetted Sampled",,"NA",1.00,3.00,0.00,0.00,0.00,0.12,0.12,0.12,0.04,0.04,0.04,0.04,0.04,70.00,70.00,,"ALL_RHMP_B08-075",6039.00,"RHMP_Panel_1","NA","ALL_RHMP_B08_05022008_SitesD.shp","TS","Targetted Sampled",32.64,-117.11,12.64,"Y","1","N","NA",,"Y","Y","None","No Failure","Y",70.00,70.00,1/13/2010 18:25:20,"Y","Y",1.00,3.00,0.00,0.00,0.00,0.04,"Y","N",,32.64,-117.11,12.64
"Coastal Ecology","Toxicity","6040",-117.11,"B03","Bay","Bay","San Diego Bay","Y","Fresh","San Diego Bay-Fresh","N","Panel1",0,"Eval","TS","Targetted Sampled",,"NA",2.00,3.00,0.00,0.00,0.00,0.12,0.12,0.12,0.04,0.04,0.04,0.04,0.04,70.00,70.00,,"MSBight03-4148",4148.00,"B03RHMP_Intense_Panel_1","MSB03Panel_1","B03_and_B98_Panel1_043008.shp","TS","Targetted Sampled",32.64,-117.11,11.21,"Y","1","N","NA",,"Y","Y","None","No Failure","Y",70.00,70.00,1/13/2010 18:25:20,"Y","Y",2.00,3.00,0.00,0.00,0.00,0.04,"Y","N",,32.64,-117.11,11.21
"Coastal Ecology","Toxicity","6041",-117.11,"B08","Bay","Bay","San Diego Bay","Y","Fresh","San Diego Bay-Fresh","N","Panel1",0,"Eval","TS","Targetted Sampled",,"NA",3.00,3.00,0.00,0.00,0.00,0.12,0.12,0.12,0.04,0.04,0.04,0.04,0.04,70.00,70.00,,"ALL_RHMP_B08-011",6041.00,"RHMP_Panel_1","NA","ALL_RHMP_B08_05022008_SitesD.shp","TS","Targetted Sampled",32.64,-117.11,10.75,"Y","1","N","NA",,"Y","Y","None","No Failure","Y",70.00,70.00,1/13/2010 18:25:20,"Y","Y",3.00,3.00,0.00,0.00,0.00,0.04,"Y","N",,32.64,-117.11,10.75
"Coastal Ecology","Toxicity","6134",-117.15,"B08","Bay","Bay","San Diego Bay","Y","Port","San Diego Bay-Port","N","Panel1",0,"Eval","TS","Targetted Sampled",,"NA",1.00,2.00,0.00,0.00,0.00,0.06,0.06,0.06,0.03,0.03,0.03,0.03,0.03,70.00,70.00,,"ALL_RHMP_B08-018",6134.00,"RHMP_Panel_1","NA","ALL_RHMP_B08_05022008_SitesD.shp","TS","Targetted Sampled",32.69,-117.15,13.74,"Y","1","N","NA",,"Y","Y","None","No Failure","Y",70.00,70.00,1/13/2010 18:25:20,"Y","Y",1.00,2.00,0.00,0.00,0.00,0.03,"Y","N",,32.69,-117.15,13.74
"Coastal Ecology","Toxicity","6136",-117.16,"B08","Bay","Bay","San Diego Bay","Y","Port","San Diego Bay-Port","N","Panel1",0,"Eval","TS","Targetted Sampled",,"NA",2.00,2.00,0.00,0.00,0.00,0.06,0.06,0.06,0.03,0.03,0.03,0.03,0.03,70.00,70.00,,"ALL_RHMP_B08-006",6136.00,"RHMP_Panel_1","NA","ALL_RHMP_B08_05022008_SitesD.shp","TS","Targetted Sampled",32.69,-117.16,14.05,"Y","1","N","NA",,"Y","Y","None","No Failure","Y",70.00,70.00,1/13/2010 18:25:20,"Y","Y",2.00,2.00,0.00,0.00,0.00,0.03,"Y","N",,32.69,-117.16,14.05
"Coastal Ecology","Toxicity","6217",-117.21,"B03","Bay","Bay","Mission Bay","Y","Shallow","Mission Bay-Shallow","N","Panel1",0,"Eval","TS","Targetted Sampled",,"NA",1.00,1.00,0.00,0.00,0.00,6.23,6.23,6.23,6.23,6.23,6.23,6.23,6.23,70.00,70.00,,"MSBight03-4228",4228.00,"B03RHMP_Intense_Panel_1","MSB03Panel_1","B03_and_B98_Panel1_043008.shp","TS","Targetted Sampled",32.78,-117.21,3.56,"Y","1","N","NA",,"Y","Y","None","No Failure","Y",70.00,70.00,1/13/2010 18:25:20,"Y","Y",1.00,1.00,0.00,0.00,0.00,6.23,"Y","N",,32.78,-117.21,3.56
"Coastal Ecology","Toxicity","6015",-117.12,"B08","Bay","Bay","San Diego Bay","Y","Shallow","San Diego Bay-Shallow","N","Panel1",0,"Eval","TS","Targetted Sampled",,"NA",1.00,7.00,0.00,0.00,0.00,18.26,18.26,18.26,2.60,2.60,2.60,2.60,2.60,70.00,70.00,,"Bight08_SiteID-0018",6015.00,"B08RHMP_Panel_1","NA","Bight08_Sites_04222008.shp","TS","Targetted Sampled",32.60,-117.12,1.82,"Y","1","N","NA",,"Y","Y","None","No Failure","Y",70.00,70.00,1/13/2010 18:25:20,"Y","Y",1.00,7.00,0.00,0.00,0.00,2.60,"Y","N",,32.60,-117.12,1.82
"Coastal Ecology","Toxicity","6017",-117.11,"B08","Bay","Bay","San Diego Bay","Y","Shallow","San Diego Bay-Shallow","N","Panel1",0,"Eval","TS","Targetted Sampled",,"NA",2.00,7.00,0.00,0.00,0.00,18.26,18.26,18.26,2.60,2.60,2.60,2.60,2.60,70.00,70.00,,"Bight08_SiteID-0082",6017.00,"B08RHMP_Panel_1","NA","Bight08_Sites_04222008.shp","TS","Targetted Sampled",32.60,-117.11,1.52,"Y","1","N","NA",,"Y","Y","None","No Failure","Y",70.00,70.00,1/13/2010 18:25:20,"Y","Y",2.00,7.00,0.00,0.00,0.00,2.60,"Y","N",,32.60,-117.11,1.52
"Coastal Ecology","Toxicity","6031",-117.13,"B08","Bay","Bay","San Diego Bay","Y","Shallow","San Diego Bay-Shallow","N","Panel1",0,"Eval","TS","Targetted Sampled",,"NA",3.00,7.00,0.00,0.00,0.00,18.26,18.26,18.26,2.60,2.60,2.60,2.60,2.60,70.00,70.00,,"Bight08_SiteID-0002",6031.00,"B08RHMP_Panel_1","NA","Bight08_Sites_04222008.shp","TS","Targetted Sampled",32.63,-117.13,1.79,"Y","1","N","NA",,"Y","Y","None","No Failure","Y",70.00,70.00,1/13/2010 18:25:20,"Y","Y",3.00,7.00,0.00,0.00,0.00,2.60,"Y","N",,32.63,-117.13,1.79
"Coastal Ecology","Toxicity","6071",-117.14,"B03","Bay","Bay","San Diego Bay","Y","Shallow","San Diego Bay-Shallow","N","Panel1",0,"Eval","TS","Targetted Sampled",,"NA",4.00,7.00,0.00,0.00,0.00,18.26,18.26,18.26,2.60,2.60,2.60,2.60,2.60,70.00,70.00,,"MSBight03-4116",4116.00,"B03RHMP_Panel_1","MSB03Panel_1","B03_and_B98_Panel1_043008.shp","TS","Targetted Sampled",32.65,-117.14,5.09,"Y","1","N","NA",,"Y","Y","None","No Failure","Y",70.00,70.00,1/13/2010 18:25:20,"Y","Y",4.00,7.00,0.00,0.00,0.00,2.60,"Y","N",,32.65,-117.14,5.09
"Coastal Ecology","Toxicity","6080",-117.14,"B98","Bay","Bay","San Diego Bay","Y","Shallow","San Diego Bay-Shallow","N","Panel1",0,"Eval","TS","Targetted Sampled",,"NA",5.00,7.00,0.00,0.00,0.00,18.26,18.26,18.26,2.60,2.60,2.60,2.60,2.60,70.00,70.00,,"MSBight98-041",2242.00,"B98RHMP_Panel_1","MSB98Panel_1","B03_and_B98_Panel1_043008.shp","TS","Targetted Sampled",32.66,-117.14,4.57,"Y","1","N","NA",,"Y","Y","None","No Failure","Y",70.00,70.00,1/13/2010 18:25:20,"Y","Y",5.00,7.00,0.00,0.00,0.00,2.60,"Y","N",,32.66,-117.14,4.57
"Coastal Ecology","Toxicity","6083",-117.15,"B08","Bay","Bay","San Diego Bay","Y","Shallow","San Diego Bay-Shallow","N","Panel1",0,"Eval","TS","Targetted Sampled",,"NA",6.00,7.00,0.00,0.00,0.00,18.26,18.26,18.26,2.60,2.60,2.60,2.60,2.60,70.00,70.00,,"Bight08_SiteID-0061",6083.00,"B08RHMP_Panel_1","NA","Bight08_Sites_04222008.shp","TS","Targetted Sampled",32.67,-117.15,4.41,"Y","1","N","NA",,"Y","Y","None","No Failure","Y",70.00,70.00,1/13/2010 18:25:20,"Y","Y",6.00,7.00,0.00,0.00,0.00,2.60,"Y","N",,32.67,-117.15,4.41
"Coastal Ecology","Toxicity","6090",-117.13,"B08","Bay","Bay","San Diego Bay","Y","Shallow","San Diego Bay-Shallow","N","Panel1",0,"Eval","TS","Targetted Sampled",,"NA",7.00,7.00,0.00,0.00,0.00,18.26,18.26,18.26,2.60,2.60,2.60,2.60,2.60,70.00,70.00,,"Bight08_SiteID-0125",6090.00,"B08RHMP_Panel_1","NA","Bight08_Sites_04222008.shp","TS","Targetted Sampled",32.67,-117.13,4.54,"Y","1","N","NA",,"Y","Y","None","No Failure","Y",70.00,70.00,1/13/2010 18:25:20,"Y","Y",7.00,7.00,0.00,0.00,0.00,2.60,"Y","N",,32.67,-117.13,4.54
