stationid,toxbatch,matrix,lab,species,dilution,treatment,concentration,concentrationunits,endpoint,labrep,result,resultunits,qacode,sampletypecode,fieldreplicate,samplecollectdate,comments,ObjectId
0000,9/04B18RTeea,Reference Toxicant,Los Angeles County Sanitation Districts,Eohaustorius estuarius,-88,None,62.5,mg/L,4 day survival percent,4,100,percentage,A,RFNH3,1,2018/09/04 07:00:00+00,"eoh on water surface day 2, resubmerged",34
0000,9/04B18RTeea,Reference Toxicant,Los Angeles County Sanitation Districts,Eohaustorius estuarius,-88,None,125,mg/L,4 day survival percent,1,70,percentage,A,RFNH3,1,2018/09/04 07:00:00+00,"eohs on water surface day 1 and 2, resubmerged",35
0000,9/04B18RTeea,Reference Toxicant,Los Angeles County Sanitation Districts,Eohaustorius estuarius,-88,None,125,mg/L,4 day survival percent,2,90,percentage,A,RFNH3,1,2018/09/04 07:00:00+00,"eohs on water surface day 1 and 3, resubmerged",36
0000,9/04B18RTeea,Reference Toxicant,Los Angeles County Sanitation Districts,Eohaustorius estuarius,-88,None,125,mg/L,4 day survival percent,3,90,percentage,A,RFNH3,1,2018/09/04 07:00:00+00,"eohs on water surface day 1 and 2, resubmerged",37
0000,9/04B18RTeea,Reference Toxicant,Los Angeles County Sanitation Districts,Eohaustorius estuarius,-88,None,125,mg/L,4 day survival percent,4,90,percentage,A,RFNH3,1,2018/09/04 07:00:00+00,"eohs on water surface day 1-4, resubmerged",38
0000,9/04B18RTeea,Reference Toxicant,Los Angeles County Sanitation Districts,Eohaustorius estuarius,-88,None,250,mg/L,4 day survival percent,1,20,percentage,A,RFNH3,1,2018/09/04 07:00:00+00,"eohs on water surface day 1 and 2, resubmerged",39
0000,9/04B18RTeea,Reference Toxicant,Los Angeles County Sanitation Districts,Eohaustorius estuarius,-88,None,250,mg/L,4 day survival percent,2,20,percentage,A,RFNH3,1,2018/09/04 07:00:00+00,"eoh on water surface day 1, resubmerged; neonates (dead, number not recorded) found on day 4 ",40
0000,9/04B18RTeea,Reference Toxicant,Los Angeles County Sanitation Districts,Eohaustorius estuarius,-88,None,250,mg/L,4 day survival percent,3,10,percentage,A,RFNH3,1,2018/09/04 07:00:00+00,"eohs on water surface day 1, resubmerged",41
0000,9/04B18RTeea,Reference Toxicant,Los Angeles County Sanitation Districts,Eohaustorius estuarius,-88,None,250,mg/L,4 day survival percent,4,20,percentage,A,RFNH3,1,2018/09/04 07:00:00+00,"eohs on water surface day 1, resubmerged",42
B18-10188,10/5B18eeaA,Whole Sediment,Los Angeles County Sanitation Districts,Eohaustorius estuarius,-88,None,-88,Not Recorded,10 day survival percent,4,0,percentage,A,Grab,1,2018/09/27 07:00:00+00,"aeration off on day 0, adjusted by technician; aeration increased on day 0; eoh on top of sediment day 3; film on sediment day 4-10; native organisms observed in sediment",43
B18-10188,10/5B18eeaA,Whole Sediment,Los Angeles County Sanitation Districts,Eohaustorius estuarius,-88,None,-88,Not Recorded,10 day survival percent,5,0,percentage,A,Grab,1,2018/09/27 07:00:00+00,"aeration off on day 5, adjusted by technician; aeration increased on day 4; native organisms observed in sediment",44
B18-10740,10/5B18eeaA,Whole Sediment,Los Angeles County Sanitation Districts,Eohaustorius estuarius,-88,None,-88,Not Recorded,10 day survival percent,1,100,percentage,A,Grab,1,2018/09/25 07:00:00+00,"eohs on water surface day 2 and 6, resubmerged; neonates (4) found on day 10",45
B18-10740,10/5B18eeaA,Whole Sediment,Los Angeles County Sanitation Districts,Eohaustorius estuarius,-88,None,-88,Not Recorded,10 day survival percent,2,100,percentage,A,Grab,1,2018/09/25 07:00:00+00,"aeration off on day 0, adjusted by technician; aeration increased on day 0; eohs on water surface day 1-6, resubmerged; eoh in water column day 2; neonates (1) found on day 10",46
B18-10740,10/5B18eeaA,Whole Sediment,Los Angeles County Sanitation Districts,Eohaustorius estuarius,-88,None,-88,Not Recorded,10 day survival percent,3,100,percentage,A,Grab,1,2018/09/25 07:00:00+00,"eohs on water surface day 1, 2, 4, 5, 8, and 9, resubmerged; eoh in water column day 1; neonates (5) found on day 10",47
B18-10740,10/5B18eeaA,Whole Sediment,Los Angeles County Sanitation Districts,Eohaustorius estuarius,-88,None,-88,Not Recorded,10 day survival percent,4,100,percentage,A,Grab,1,2018/09/25 07:00:00+00,"aeration off on day 0, adjusted by technician; aeration increased on day 0; eohs on water surface day 2-6, resubmerged; neonates (2) found on day 10",48
0000,8/17B18eea,Whole Sediment,Los Angeles County Sanitation Districts,Eohaustorius estuarius,-88,None,-88,Not Recorded,10 day survival percent,1,95,percentage,A,CNEG,1,2018/08/09 07:00:00+00,,49
0000,8/17B18eea,Whole Sediment,Los Angeles County Sanitation Districts,Eohaustorius estuarius,-88,None,-88,Not Recorded,10 day survival percent,2,100,percentage,A,CNEG,1,2018/08/09 07:00:00+00,,50
0000,8/17B18eea,Whole Sediment,Los Angeles County Sanitation Districts,Eohaustorius estuarius,-88,None,-88,Not Recorded,10 day survival percent,3,90,percentage,A,CNEG,1,2018/08/09 07:00:00+00,"aeration off on day 1, 4, 6, and 10, adjusted by technician; aeration increased on day 5",51
0000,8/17B18eea,Whole Sediment,Los Angeles County Sanitation Districts,Eohaustorius estuarius,-88,None,-88,Not Recorded,10 day survival percent,4,100,percentage,A,CNEG,1,2018/08/09 07:00:00+00,,52
0000,8/17B18eea,Whole Sediment,Los Angeles County Sanitation Districts,Eohaustorius estuarius,-88,None,-88,Not Recorded,10 day survival percent,5,85,percentage,A,CNEG,1,2018/08/09 07:00:00+00,"aeration off on day 0 and 4, adjusted by technician",53
B18-10146,8/17B18eea,Whole Sediment,Los Angeles County Sanitation Districts,Eohaustorius estuarius,-88,None,-88,Not Recorded,10 day survival percent,1,0,percentage,A,Grab,1,2018/08/10 07:00:00+00,"eohs on water surface day 1-5, resubmerged; eohs on top of sediment day 1-8; film on sediment day 6-8",54
B18-10146,8/17B18eea,Whole Sediment,Los Angeles County Sanitation Districts,Eohaustorius estuarius,-88,None,-88,Not Recorded,10 day survival percent,2,0,percentage,A,Grab,1,2018/08/10 07:00:00+00,"eohs on water surface day 1, resubmerged; eohs on top of sediment day 1-9; film on sediment day 6-8",55
B18-10146,8/17B18eea,Whole Sediment,Los Angeles County Sanitation Districts,Eohaustorius estuarius,-88,None,-88,Not Recorded,10 day survival percent,3,0,percentage,A,Grab,1,2018/08/10 07:00:00+00,"aeration increased day 1 and 4; eohs on water surface day 1, resubmerged; eohs on top of sediment day 1-7; film on sediment day 6-8",56
B18-10146,8/17B18eea,Whole Sediment,Los Angeles County Sanitation Districts,Eohaustorius estuarius,-88,None,-88,Not Recorded,10 day survival percent,4,0,percentage,A,Grab,1,2018/08/10 07:00:00+00,"aeration increased on day 1; eohs on water surface day 1, resubmerged; eohs on top of sediment day 1-8; film on sediment day 6-8",57
B18-10148,8/17B18eea,Whole Sediment,Los Angeles County Sanitation Districts,Eohaustorius estuarius,-88,None,-88,Not Recorded,10 day survival percent,1,10,percentage,A,Grab,1,2018/08/09 07:00:00+00,"eohs on water surface day 1-6, resubmerged; eohs on top of sediment day 1-9; eohs in water column day 1, 2 and 8; film on sediment day 7",58
B18-10148,8/17B18eea,Whole Sediment,Los Angeles County Sanitation Districts,Eohaustorius estuarius,-88,None,-88,Not Recorded,10 day survival percent,2,10,percentage,A,Grab,1,2018/08/09 07:00:00+00,"aeration off on day 0, adjusted by technician; eohs on water surface day 1-5 and 7, resubmerged; eohs on top of sediment day 1-9; eohs in water column day 1",59
B18-10148,8/17B18eea,Whole Sediment,Los Angeles County Sanitation Districts,Eohaustorius estuarius,-88,None,-88,Not Recorded,10 day survival percent,3,0,percentage,A,Grab,1,2018/08/09 07:00:00+00,"eohs on water surface day 1-5, resubmerged; eohs on top of sediment day 1-9; film on sediment day 7 and 8",60
B18-10148,8/17B18eea,Whole Sediment,Los Angeles County Sanitation Districts,Eohaustorius estuarius,-88,None,-88,Not Recorded,10 day survival percent,4,10,percentage,A,Grab,1,2018/08/09 07:00:00+00,"eohs on water surface day 1-7, resubmerged; eohs on top of sediment day 1-9; eohs in water column day 2",61
SampleB,03/02B18eea,Whole Sediment,Los Angeles County Sanitation Districts,Eohaustorius estuarius,-88,None,-88,Not Recorded,10 day survival percent,1,90,percentage,A,Grab,1,2018/02/27 08:00:00+00,Some eohs swimming at water surface on days 0-3 and day 6 (avoiding sediment).,62
SampleB,03/02B18eea,Whole Sediment,Los Angeles County Sanitation Districts,Eohaustorius estuarius,-88,None,-88,Not Recorded,10 day survival percent,2,90,percentage,A,Grab,1,2018/02/27 08:00:00+00,"Some eohs swimming at water surface on days 0-3, 5, 6, and 9 (avoiding sediment).",63
SampleB,03/02B18eea,Whole Sediment,Los Angeles County Sanitation Districts,Eohaustorius estuarius,-88,None,-88,Not Recorded,10 day survival percent,3,90,percentage,A,Grab,1,2018/02/27 08:00:00+00,Some eohs swimming at water surface on days 0-5 (avoiding sediment).,64
0000,9/18B18RTeea,Reference Toxicant,Los Angeles County Sanitation Districts,Eohaustorius estuarius,-88,None,62.5,mg/L,4 day survival percent,1,100,percentage,A,RFNH3,1,2018/09/18 07:00:00+00,"eohs on water surface day 3, resubmerged; neonates (5) found on day 4",65
SampleB,03/02B18eea,Whole Sediment,Los Angeles County Sanitation Districts,Eohaustorius estuarius,-88,None,-88,Not Recorded,10 day survival percent,4,100,percentage,A,Grab,1,2018/02/27 08:00:00+00,Some eohs swimming at water surface on days 0-4 (avoiding sediment).,66
SampleB,03/02B18eea,Whole Sediment,Los Angeles County Sanitation Districts,Eohaustorius estuarius,-88,None,-88,Not Recorded,10 day survival percent,5,85,percentage,A,Grab,1,2018/02/27 08:00:00+00,Some eohs swimming at water surface on days 0-6 (avoiding sediment).,67
SampleC,03/02B18eea,Whole Sediment,Los Angeles County Sanitation Districts,Eohaustorius estuarius,-88,None,-88,Not Recorded,10 day survival percent,1,0,percentage,A,Grab,1,2018/02/27 08:00:00+00,Replicate had rust and black colored sediment on the edge by glass. Some eohs swimming at water surface on days 0-4 (avoiding sediment).,68
SampleC,03/02B18eea,Whole Sediment,Los Angeles County Sanitation Districts,Eohaustorius estuarius,-88,None,-88,Not Recorded,10 day survival percent,2,10,percentage,A,Grab,1,2018/02/27 08:00:00+00,"Some eohs swimming at water surface on days 0-4, 6, and 7 (avoiding sediment).",69
SampleC,03/02B18eea,Whole Sediment,Los Angeles County Sanitation Districts,Eohaustorius estuarius,-88,None,-88,Not Recorded,10 day survival percent,3,5,percentage,A,Grab,1,2018/02/27 08:00:00+00,Replicate had rust and black colored sediment on the edge by glass. Some eohs swimming at water surface on days 0-5 (avoiding sediment).,70
SampleC,03/02B18eea,Whole Sediment,Los Angeles County Sanitation Districts,Eohaustorius estuarius,-88,None,-88,Not Recorded,10 day survival percent,4,10,percentage,A,Grab,1,2018/02/27 08:00:00+00,Some eohs swimming at water surface on days 0-3 and day 4 (avoiding sediment).,71
SampleC,03/02B18eea,Whole Sediment,Los Angeles County Sanitation Districts,Eohaustorius estuarius,-88,None,-88,Not Recorded,10 day survival percent,5,10,percentage,A,Grab,1,2018/02/27 08:00:00+00,Neonate present at test termination. Rust coloration across top of sediment (day 10). Some eohs swimming at water surface on days 0-4 and day 6 (avoiding sediment).,72
SampleD,03/02B18eea,Whole Sediment,Los Angeles County Sanitation Districts,Eohaustorius estuarius,-88,None,-88,Not Recorded,10 day survival percent,1,40,percentage,A,Grab,1,2018/02/27 08:00:00+00,Some eohs swimming at water surface on days 0-4 and day 6 (avoiding sediment).,73
0000,3/2intRTeea,Reference Toxicant,Los Angeles County Sanitation Districts,Eohaustorius estuarius,-88,None,250,mg/L,4 day survival percent,3,10,percentage,A,RFNH3,1,2018/03/02 08:00:00+00,Neonates present on day 4.,74
SampleD,03/02B18eea,Whole Sediment,Los Angeles County Sanitation Districts,Eohaustorius estuarius,-88,None,-88,Not Recorded,10 day survival percent,2,0,percentage,J,Grab,1,2018/02/27 08:00:00+00,"Aeration rate had to be adjusted on 4 days (4, 5, 8, 10) because replicate was not being aerated. Replicate had rust and black colored sediment on the edge by glass. Some eohs swimming at water surface on days 0-4 and day 7 (avoiding sediment).",75
SampleD,03/02B18eea,Whole Sediment,Los Angeles County Sanitation Districts,Eohaustorius estuarius,-88,None,-88,Not Recorded,10 day survival percent,3,10,percentage,A,Grab,1,2018/02/27 08:00:00+00,Some eohs swimming at water surface on days 0-5 (avoiding sediment).,76
SampleD,03/02B18eea,Whole Sediment,Los Angeles County Sanitation Districts,Eohaustorius estuarius,-88,None,-88,Not Recorded,10 day survival percent,4,20,percentage,A,Grab,1,2018/02/27 08:00:00+00,Some eohs swimming at water surface on days 0-5 (avoiding sediment).,77
SampleD,03/02B18eea,Whole Sediment,Los Angeles County Sanitation Districts,Eohaustorius estuarius,-88,None,-88,Not Recorded,10 day survival percent,5,10,percentage,A,Grab,1,2018/02/27 08:00:00+00,Some eohs swimming at water surface on days 0-6 (avoiding sediment).,78
0000,3/2intRTeea,Reference Toxicant,Los Angeles County Sanitation Districts,Eohaustorius estuarius,-88,None,0,mg/L,4 day survival percent,1,100,percentage,A,RFNH3,1,2018/03/02 08:00:00+00,,79
0000,3/2intRTeea,Reference Toxicant,Los Angeles County Sanitation Districts,Eohaustorius estuarius,-88,None,0,mg/L,4 day survival percent,2,90,percentage,A,RFNH3,1,2018/03/02 08:00:00+00,,80
0000,3/2intRTeea,Reference Toxicant,Los Angeles County Sanitation Districts,Eohaustorius estuarius,-88,None,0,mg/L,4 day survival percent,3,100,percentage,A,RFNH3,1,2018/03/02 08:00:00+00,,81
0000,3/2intRTeea,Reference Toxicant,Los Angeles County Sanitation Districts,Eohaustorius estuarius,-88,None,0,mg/L,4 day survival percent,4,90,percentage,A,RFNH3,1,2018/03/02 08:00:00+00,,82
0000,3/2intRTeea,Reference Toxicant,Los Angeles County Sanitation Districts,Eohaustorius estuarius,-88,None,15.6,mg/L,4 day survival percent,1,100,percentage,A,RFNH3,1,2018/03/02 08:00:00+00,,83
0000,3/2intRTeea,Reference Toxicant,Los Angeles County Sanitation Districts,Eohaustorius estuarius,-88,None,15.6,mg/L,4 day survival percent,2,100,percentage,A,RFNH3,1,2018/03/02 08:00:00+00,,84
0000,3/2intRTeea,Reference Toxicant,Los Angeles County Sanitation Districts,Eohaustorius estuarius,-88,None,15.6,mg/L,4 day survival percent,3,100,percentage,A,RFNH3,1,2018/03/02 08:00:00+00,,85
0000,3/2intRTeea,Reference Toxicant,Los Angeles County Sanitation Districts,Eohaustorius estuarius,-88,None,15.6,mg/L,4 day survival percent,4,100,percentage,A,RFNH3,1,2018/03/02 08:00:00+00,,86
0000,3/2intRTeea,Reference Toxicant,Los Angeles County Sanitation Districts,Eohaustorius estuarius,-88,None,31.2,mg/L,4 day survival percent,1,100,percentage,A,RFNH3,1,2018/03/02 08:00:00+00,,87
0000,3/2intRTeea,Reference Toxicant,Los Angeles County Sanitation Districts,Eohaustorius estuarius,-88,None,31.2,mg/L,4 day survival percent,2,100,percentage,A,RFNH3,1,2018/03/02 08:00:00+00,,88
0000,3/2intRTeea,Reference Toxicant,Los Angeles County Sanitation Districts,Eohaustorius estuarius,-88,None,31.2,mg/L,4 day survival percent,3,100,percentage,A,RFNH3,1,2018/03/02 08:00:00+00,,89
0000,3/2intRTeea,Reference Toxicant,Los Angeles County Sanitation Districts,Eohaustorius estuarius,-88,None,31.2,mg/L,4 day survival percent,4,100,percentage,A,RFNH3,1,2018/03/02 08:00:00+00,,90
0000,3/2intRTeea,Reference Toxicant,Los Angeles County Sanitation Districts,Eohaustorius estuarius,-88,None,62.5,mg/L,4 day survival percent,1,100,percentage,A,RFNH3,1,2018/03/02 08:00:00+00,,91
0000,3/2intRTeea,Reference Toxicant,Los Angeles County Sanitation Districts,Eohaustorius estuarius,-88,None,62.5,mg/L,4 day survival percent,2,90,percentage,A,RFNH3,1,2018/03/02 08:00:00+00,Neonates present on day 3 and 4.,92
0000,3/2intRTeea,Reference Toxicant,Los Angeles County Sanitation Districts,Eohaustorius estuarius,-88,None,62.5,mg/L,4 day survival percent,3,90,percentage,A,RFNH3,1,2018/03/02 08:00:00+00,,93
0000,3/2intRTeea,Reference Toxicant,Los Angeles County Sanitation Districts,Eohaustorius estuarius,-88,None,62.5,mg/L,4 day survival percent,4,100,percentage,A,RFNH3,1,2018/03/02 08:00:00+00,,94
0000,3/2intRTeea,Reference Toxicant,Los Angeles County Sanitation Districts,Eohaustorius estuarius,-88,None,125,mg/L,4 day survival percent,1,60,percentage,A,RFNH3,1,2018/03/02 08:00:00+00,,95
0000,3/2intRTeea,Reference Toxicant,Los Angeles County Sanitation Districts,Eohaustorius estuarius,-88,None,125,mg/L,4 day survival percent,2,50,percentage,A,RFNH3,1,2018/03/02 08:00:00+00,,96
0000,3/2intRTeea,Reference Toxicant,Los Angeles County Sanitation Districts,Eohaustorius estuarius,-88,None,125,mg/L,4 day survival percent,3,30,percentage,A,RFNH3,1,2018/03/02 08:00:00+00,Neonates present on day 3 and 4.,97
0000,3/2intRTeea,Reference Toxicant,Los Angeles County Sanitation Districts,Eohaustorius estuarius,-88,None,125,mg/L,4 day survival percent,4,50,percentage,A,RFNH3,1,2018/03/02 08:00:00+00,,98
0000,NOAAB18SedTest,Whole Sediment,NOAA,Eohaustorius estuarius,-88,None,-88,Not Recorded,Percent normal-alive,2,100,percentage,A,CNEG,1,2018/08/10 07:00:00+00,,99
0000,3/2intRTeea,Reference Toxicant,Los Angeles County Sanitation Districts,Eohaustorius estuarius,-88,None,250,mg/L,4 day survival percent,1,10,percentage,A,RFNH3,1,2018/03/02 08:00:00+00,,100
0000,3/2intRTeea,Reference Toxicant,Los Angeles County Sanitation Districts,Eohaustorius estuarius,-88,None,250,mg/L,4 day survival percent,2,0,percentage,A,RFNH3,1,2018/03/02 08:00:00+00,,101
0000,3/2intRTeea,Reference Toxicant,Los Angeles County Sanitation Districts,Eohaustorius estuarius,-88,None,250,mg/L,4 day survival percent,4,0,percentage,A,RFNH3,1,2018/03/02 08:00:00+00,,102
0000,8/24B18eea,Whole Sediment,Los Angeles County Sanitation Districts,Eohaustorius estuarius,-88,None,-88,Not Recorded,10 day survival percent,1,95,percentage,A,CNEG,1,2018/08/14 07:00:00+00,"eoh replaced (1) at test initiation; ",103
0000,8/24B18eea,Whole Sediment,Los Angeles County Sanitation Districts,Eohaustorius estuarius,-88,None,-88,Not Recorded,10 day survival percent,2,95,percentage,A,CNEG,1,2018/08/14 07:00:00+00,eoh on top of sediment day 7,104
0000,8/24B18eea,Whole Sediment,Los Angeles County Sanitation Districts,Eohaustorius estuarius,-88,None,-88,Not Recorded,10 day survival percent,3,100,percentage,A,CNEG,1,2018/08/14 07:00:00+00,aeration increased on day 3,105
0000,8/24B18eea,Whole Sediment,Los Angeles County Sanitation Districts,Eohaustorius estuarius,-88,None,-88,Not Recorded,10 day survival percent,4,100,percentage,A,CNEG,1,2018/08/14 07:00:00+00,"aeration off on day 3, adjusted by technician",106
0000,8/24B18eea,Whole Sediment,Los Angeles County Sanitation Districts,Eohaustorius estuarius,-88,None,-88,Not Recorded,10 day survival percent,5,100,percentage,A,CNEG,1,2018/08/14 07:00:00+00,,107
