objectid,stationid,lab,sampletypecode,toxbatch,fieldreplicate,species,endpoint,units,mean,control_mean,adjusted_control_mean,stddev,coefficientvariance,pvalue,n,sigeffect,qacode,sqocategory,matrix,treatment,dilution,comments,latitude,longitude,stationwaterdepth,stationwaterdepthunits,stratum,areaweight
193,B23-12176,WSP,Grab,23-11-004 to 23-11-005,1,Mytilus galloprovincialis,10 day survival percent;Percent normal-alive,percentage,88.582,85.606,103.476391841693,3.10766310915453,0.0350823317282803,0.0639639932889099,5,NSC,"A;E;X;C;D;O,X,C;O,X",Nontoxic,Whole Sediment;Sediment Water Interface,None,-88,"NA;Survival in Sample A replicate 1 was 90% in initial (3/27/23) test. ;Survival in Sample A replicate 2 was 80% in initial (3/27/23) test. ;Survival in Sample A replicate 3 was 80% in initial (3/27/23) test. ;Survival in Sample A replicate 4 was 80% in initial (3/27/23) test. ;Survival in Sample A replicate 5 was 55% in initial (3/27/23) test. ;Survival in Sample B replicate 1 was 75% in initial (3/27/23) test. ;Survival in Sample B replicate 2 was 90% in initial (3/27/23) test. ;Survival in Sample B replicate 3 was 65% in initial (3/27/23) test. ;Survival in Sample B replicate 4 was 90% in initial (3/27/23) test. ;Survival in Sample B replicate 5 was 85% in initial (3/27/23) test. ;Increased debris observed in the vial during scoring.;An error occurred when terminating the test where portions of one replicate were inadvertently mixed with the prior replicate. Therefore, this replicate was removed from the data analysis.;Observations of significant debris during scoring, counts verified by senior analyst; replicate is a statistical outlier, not excluded from mean normal-alive because replicate 2 was already removed due to error at termination.;More sediment observed in vial compared to others during counting;Survival in Sample C replicate 1 was 75% in initial (3/27/23) test. ;Survival in Sample C replicate 2 was 85% in initial (3/27/23) test. ;Survival in Sample C replicate 3 was 85% in initial (3/27/23) test. ;Survival in Sample C replicate 4 was 90% in initial (3/27/23) test. ;Survival in Sample C replicate 5 was 85% in initial (3/27/23) test. ;Survival in Sample D replicate 1 was 95% in initial (3/27/23) test. ;Survival in Sample D replicate 2 was 90% in initial (3/27/23) test. ;Survival in Sample D replicate 3 was 90% in initial (3/27/23) test. ;Survival in Sample D replicate 4 was 90% in initial (3/27/23) test. ;Survival in Sample D replicate 5 was 90% in initial (3/27/23) test. ;Sample was 14 days and 13 hours old at time of test initiation.;Partial loss of embryos during termination.  Heavy debris also observed. Excluded from analysis using Grubbs Outlier Test;Replicate equilibrated an additional 24 hours with one water exchange prior to test initiation;Salinity at 27 ppt;Salinity at 17 ppt;Previously was the exact same as another batch. Error noticed by Darrin Greenstein, DB change was requested by Angelika Moskova;Complete loss of embryos during test termination.  No bottom on vial due to manufacturer error. Excluded from analysis using Grubbs outlier test;Replicate Likely not initiated, no bodies recovered;SAMPLE NOT INNOCULATED, TECH ERROR;Screen Tube Control;Yaquina Bay Control;Test initially performed within 14 days of sample receipt (3/27/23) was run with incorrect control sediment. Retest initiated on 4/12/23.;Salinity at 32 ppt",33.69839,-118.0401,3.1,m,Estuaries,
194,B23-12177,WSP,Grab,23-11-004 to 23-11-005,1,Mytilus galloprovincialis,10 day survival percent;Percent normal-alive,percentage,87.198,85.606,101.859682732519,3.07599089725571,0.035275934049585,0.192539087044945,5,NSC,"A;E;X;C;D;O,X,C;O,X",Nontoxic,Whole Sediment;Sediment Water Interface,None,-88,"NA;Survival in Sample A replicate 1 was 90% in initial (3/27/23) test. ;Survival in Sample A replicate 2 was 80% in initial (3/27/23) test. ;Survival in Sample A replicate 3 was 80% in initial (3/27/23) test. ;Survival in Sample A replicate 4 was 80% in initial (3/27/23) test. ;Survival in Sample A replicate 5 was 55% in initial (3/27/23) test. ;Survival in Sample B replicate 1 was 75% in initial (3/27/23) test. ;Survival in Sample B replicate 2 was 90% in initial (3/27/23) test. ;Survival in Sample B replicate 3 was 65% in initial (3/27/23) test. ;Survival in Sample B replicate 4 was 90% in initial (3/27/23) test. ;Survival in Sample B replicate 5 was 85% in initial (3/27/23) test. ;Increased debris observed in the vial during scoring.;An error occurred when terminating the test where portions of one replicate were inadvertently mixed with the prior replicate. Therefore, this replicate was removed from the data analysis.;Observations of significant debris during scoring, counts verified by senior analyst; replicate is a statistical outlier, not excluded from mean normal-alive because replicate 2 was already removed due to error at termination.;More sediment observed in vial compared to others during counting;Survival in Sample C replicate 1 was 75% in initial (3/27/23) test. ;Survival in Sample C replicate 2 was 85% in initial (3/27/23) test. ;Survival in Sample C replicate 3 was 85% in initial (3/27/23) test. ;Survival in Sample C replicate 4 was 90% in initial (3/27/23) test. ;Survival in Sample C replicate 5 was 85% in initial (3/27/23) test. ;Survival in Sample D replicate 1 was 95% in initial (3/27/23) test. ;Survival in Sample D replicate 2 was 90% in initial (3/27/23) test. ;Survival in Sample D replicate 3 was 90% in initial (3/27/23) test. ;Survival in Sample D replicate 4 was 90% in initial (3/27/23) test. ;Survival in Sample D replicate 5 was 90% in initial (3/27/23) test. ;Sample was 14 days and 13 hours old at time of test initiation.;Partial loss of embryos during termination.  Heavy debris also observed. Excluded from analysis using Grubbs Outlier Test;Replicate equilibrated an additional 24 hours with one water exchange prior to test initiation;Salinity at 27 ppt;Salinity at 17 ppt;Previously was the exact same as another batch. Error noticed by Darrin Greenstein, DB change was requested by Angelika Moskova;Complete loss of embryos during test termination.  No bottom on vial due to manufacturer error. Excluded from analysis using Grubbs outlier test;Replicate Likely not initiated, no bodies recovered;SAMPLE NOT INNOCULATED, TECH ERROR;Screen Tube Control;Yaquina Bay Control;Test initially performed within 14 days of sample receipt (3/27/23) was run with incorrect control sediment. Retest initiated on 4/12/23.;Salinity at 32 ppt",33.710981,-118.059952,4.9,m,Estuaries,
195,0000,Enthalpy,CNEG,2303-S209,1,Eohaustorius estuarius,10 day survival percent;Percent normal-alive,percentage,99,99,100,2.23606797749979,0.0225865452272706,0.5,5,NSC,"A;E;X;C;D;O,X,C;O,X",Nontoxic,Whole Sediment;Sediment Water Interface,None,-88,"NA;Survival in Sample A replicate 1 was 90% in initial (3/27/23) test. ;Survival in Sample A replicate 2 was 80% in initial (3/27/23) test. ;Survival in Sample A replicate 3 was 80% in initial (3/27/23) test. ;Survival in Sample A replicate 4 was 80% in initial (3/27/23) test. ;Survival in Sample A replicate 5 was 55% in initial (3/27/23) test. ;Survival in Sample B replicate 1 was 75% in initial (3/27/23) test. ;Survival in Sample B replicate 2 was 90% in initial (3/27/23) test. ;Survival in Sample B replicate 3 was 65% in initial (3/27/23) test. ;Survival in Sample B replicate 4 was 90% in initial (3/27/23) test. ;Survival in Sample B replicate 5 was 85% in initial (3/27/23) test. ;Increased debris observed in the vial during scoring.;An error occurred when terminating the test where portions of one replicate were inadvertently mixed with the prior replicate. Therefore, this replicate was removed from the data analysis.;Observations of significant debris during scoring, counts verified by senior analyst; replicate is a statistical outlier, not excluded from mean normal-alive because replicate 2 was already removed due to error at termination.;More sediment observed in vial compared to others during counting;Survival in Sample C replicate 1 was 75% in initial (3/27/23) test. ;Survival in Sample C replicate 2 was 85% in initial (3/27/23) test. ;Survival in Sample C replicate 3 was 85% in initial (3/27/23) test. ;Survival in Sample C replicate 4 was 90% in initial (3/27/23) test. ;Survival in Sample C replicate 5 was 85% in initial (3/27/23) test. ;Survival in Sample D replicate 1 was 95% in initial (3/27/23) test. ;Survival in Sample D replicate 2 was 90% in initial (3/27/23) test. ;Survival in Sample D replicate 3 was 90% in initial (3/27/23) test. ;Survival in Sample D replicate 4 was 90% in initial (3/27/23) test. ;Survival in Sample D replicate 5 was 90% in initial (3/27/23) test. ;Sample was 14 days and 13 hours old at time of test initiation.;Partial loss of embryos during termination.  Heavy debris also observed. Excluded from analysis using Grubbs Outlier Test;Replicate equilibrated an additional 24 hours with one water exchange prior to test initiation;Salinity at 27 ppt;Salinity at 17 ppt;Previously was the exact same as another batch. Error noticed by Darrin Greenstein, DB change was requested by Angelika Moskova;Complete loss of embryos during test termination.  No bottom on vial due to manufacturer error. Excluded from analysis using Grubbs outlier test;Replicate Likely not initiated, no bodies recovered;SAMPLE NOT INNOCULATED, TECH ERROR;Screen Tube Control;Yaquina Bay Control;Test initially performed within 14 days of sample receipt (3/27/23) was run with incorrect control sediment. Retest initiated on 4/12/23.;Salinity at 32 ppt",,,,,,
196,SampleA,Enthalpy,Grab,2303-S209,1,Eohaustorius estuarius,10 day survival percent;Percent normal-alive,percentage,75,99,75.7575757575758,10,0.133333333333333,0.002433678457746,5,SC,"A;E;X;C;D;O,X,C;O,X",Moderate Toxicity,Whole Sediment;Sediment Water Interface,None,-88,"NA;Survival in Sample A replicate 1 was 90% in initial (3/27/23) test. ;Survival in Sample A replicate 2 was 80% in initial (3/27/23) test. ;Survival in Sample A replicate 3 was 80% in initial (3/27/23) test. ;Survival in Sample A replicate 4 was 80% in initial (3/27/23) test. ;Survival in Sample A replicate 5 was 55% in initial (3/27/23) test. ;Survival in Sample B replicate 1 was 75% in initial (3/27/23) test. ;Survival in Sample B replicate 2 was 90% in initial (3/27/23) test. ;Survival in Sample B replicate 3 was 65% in initial (3/27/23) test. ;Survival in Sample B replicate 4 was 90% in initial (3/27/23) test. ;Survival in Sample B replicate 5 was 85% in initial (3/27/23) test. ;Increased debris observed in the vial during scoring.;An error occurred when terminating the test where portions of one replicate were inadvertently mixed with the prior replicate. Therefore, this replicate was removed from the data analysis.;Observations of significant debris during scoring, counts verified by senior analyst; replicate is a statistical outlier, not excluded from mean normal-alive because replicate 2 was already removed due to error at termination.;More sediment observed in vial compared to others during counting;Survival in Sample C replicate 1 was 75% in initial (3/27/23) test. ;Survival in Sample C replicate 2 was 85% in initial (3/27/23) test. ;Survival in Sample C replicate 3 was 85% in initial (3/27/23) test. ;Survival in Sample C replicate 4 was 90% in initial (3/27/23) test. ;Survival in Sample C replicate 5 was 85% in initial (3/27/23) test. ;Survival in Sample D replicate 1 was 95% in initial (3/27/23) test. ;Survival in Sample D replicate 2 was 90% in initial (3/27/23) test. ;Survival in Sample D replicate 3 was 90% in initial (3/27/23) test. ;Survival in Sample D replicate 4 was 90% in initial (3/27/23) test. ;Survival in Sample D replicate 5 was 90% in initial (3/27/23) test. ;Sample was 14 days and 13 hours old at time of test initiation.;Partial loss of embryos during termination.  Heavy debris also observed. Excluded from analysis using Grubbs Outlier Test;Replicate equilibrated an additional 24 hours with one water exchange prior to test initiation;Salinity at 27 ppt;Salinity at 17 ppt;Previously was the exact same as another batch. Error noticed by Darrin Greenstein, DB change was requested by Angelika Moskova;Complete loss of embryos during test termination.  No bottom on vial due to manufacturer error. Excluded from analysis using Grubbs outlier test;Replicate Likely not initiated, no bodies recovered;SAMPLE NOT INNOCULATED, TECH ERROR;Screen Tube Control;Yaquina Bay Control;Test initially performed within 14 days of sample receipt (3/27/23) was run with incorrect control sediment. Retest initiated on 4/12/23.;Salinity at 32 ppt",,,,,,
197,SampleB,Enthalpy,Grab,2303-S209,1,Eohaustorius estuarius,10 day survival percent;Percent normal-alive,percentage,96,99,96.969696969697,4.18330013267038,0.0435760430486498,0.103075503368117,5,NSC,"A;E;X;C;D;O,X,C;O,X",Nontoxic,Whole Sediment;Sediment Water Interface,None,-88,"NA;Survival in Sample A replicate 1 was 90% in initial (3/27/23) test. ;Survival in Sample A replicate 2 was 80% in initial (3/27/23) test. ;Survival in Sample A replicate 3 was 80% in initial (3/27/23) test. ;Survival in Sample A replicate 4 was 80% in initial (3/27/23) test. ;Survival in Sample A replicate 5 was 55% in initial (3/27/23) test. ;Survival in Sample B replicate 1 was 75% in initial (3/27/23) test. ;Survival in Sample B replicate 2 was 90% in initial (3/27/23) test. ;Survival in Sample B replicate 3 was 65% in initial (3/27/23) test. ;Survival in Sample B replicate 4 was 90% in initial (3/27/23) test. ;Survival in Sample B replicate 5 was 85% in initial (3/27/23) test. ;Increased debris observed in the vial during scoring.;An error occurred when terminating the test where portions of one replicate were inadvertently mixed with the prior replicate. Therefore, this replicate was removed from the data analysis.;Observations of significant debris during scoring, counts verified by senior analyst; replicate is a statistical outlier, not excluded from mean normal-alive because replicate 2 was already removed due to error at termination.;More sediment observed in vial compared to others during counting;Survival in Sample C replicate 1 was 75% in initial (3/27/23) test. ;Survival in Sample C replicate 2 was 85% in initial (3/27/23) test. ;Survival in Sample C replicate 3 was 85% in initial (3/27/23) test. ;Survival in Sample C replicate 4 was 90% in initial (3/27/23) test. ;Survival in Sample C replicate 5 was 85% in initial (3/27/23) test. ;Survival in Sample D replicate 1 was 95% in initial (3/27/23) test. ;Survival in Sample D replicate 2 was 90% in initial (3/27/23) test. ;Survival in Sample D replicate 3 was 90% in initial (3/27/23) test. ;Survival in Sample D replicate 4 was 90% in initial (3/27/23) test. ;Survival in Sample D replicate 5 was 90% in initial (3/27/23) test. ;Sample was 14 days and 13 hours old at time of test initiation.;Partial loss of embryos during termination.  Heavy debris also observed. Excluded from analysis using Grubbs Outlier Test;Replicate equilibrated an additional 24 hours with one water exchange prior to test initiation;Salinity at 27 ppt;Salinity at 17 ppt;Previously was the exact same as another batch. Error noticed by Darrin Greenstein, DB change was requested by Angelika Moskova;Complete loss of embryos during test termination.  No bottom on vial due to manufacturer error. Excluded from analysis using Grubbs outlier test;Replicate Likely not initiated, no bodies recovered;SAMPLE NOT INNOCULATED, TECH ERROR;Screen Tube Control;Yaquina Bay Control;Test initially performed within 14 days of sample receipt (3/27/23) was run with incorrect control sediment. Retest initiated on 4/12/23.;Salinity at 32 ppt",,,,,,
198,SampleC,Enthalpy,Grab,2303-S209,1,Eohaustorius estuarius,10 day survival percent;Percent normal-alive,percentage,76,99,76.7676767676768,4.18330013267038,0.0550434227982944,1.60861943544801e-05,5,SC,"A;E;X;C;D;O,X,C;O,X",Moderate Toxicity,Whole Sediment;Sediment Water Interface,None,-88,"NA;Survival in Sample A replicate 1 was 90% in initial (3/27/23) test. ;Survival in Sample A replicate 2 was 80% in initial (3/27/23) test. ;Survival in Sample A replicate 3 was 80% in initial (3/27/23) test. ;Survival in Sample A replicate 4 was 80% in initial (3/27/23) test. ;Survival in Sample A replicate 5 was 55% in initial (3/27/23) test. ;Survival in Sample B replicate 1 was 75% in initial (3/27/23) test. ;Survival in Sample B replicate 2 was 90% in initial (3/27/23) test. ;Survival in Sample B replicate 3 was 65% in initial (3/27/23) test. ;Survival in Sample B replicate 4 was 90% in initial (3/27/23) test. ;Survival in Sample B replicate 5 was 85% in initial (3/27/23) test. ;Increased debris observed in the vial during scoring.;An error occurred when terminating the test where portions of one replicate were inadvertently mixed with the prior replicate. Therefore, this replicate was removed from the data analysis.;Observations of significant debris during scoring, counts verified by senior analyst; replicate is a statistical outlier, not excluded from mean normal-alive because replicate 2 was already removed due to error at termination.;More sediment observed in vial compared to others during counting;Survival in Sample C replicate 1 was 75% in initial (3/27/23) test. ;Survival in Sample C replicate 2 was 85% in initial (3/27/23) test. ;Survival in Sample C replicate 3 was 85% in initial (3/27/23) test. ;Survival in Sample C replicate 4 was 90% in initial (3/27/23) test. ;Survival in Sample C replicate 5 was 85% in initial (3/27/23) test. ;Survival in Sample D replicate 1 was 95% in initial (3/27/23) test. ;Survival in Sample D replicate 2 was 90% in initial (3/27/23) test. ;Survival in Sample D replicate 3 was 90% in initial (3/27/23) test. ;Survival in Sample D replicate 4 was 90% in initial (3/27/23) test. ;Survival in Sample D replicate 5 was 90% in initial (3/27/23) test. ;Sample was 14 days and 13 hours old at time of test initiation.;Partial loss of embryos during termination.  Heavy debris also observed. Excluded from analysis using Grubbs Outlier Test;Replicate equilibrated an additional 24 hours with one water exchange prior to test initiation;Salinity at 27 ppt;Salinity at 17 ppt;Previously was the exact same as another batch. Error noticed by Darrin Greenstein, DB change was requested by Angelika Moskova;Complete loss of embryos during test termination.  No bottom on vial due to manufacturer error. Excluded from analysis using Grubbs outlier test;Replicate Likely not initiated, no bodies recovered;SAMPLE NOT INNOCULATED, TECH ERROR;Screen Tube Control;Yaquina Bay Control;Test initially performed within 14 days of sample receipt (3/27/23) was run with incorrect control sediment. Retest initiated on 4/12/23.;Salinity at 32 ppt",,,,,,
199,SampleD,Enthalpy,Grab,2303-S209,1,Eohaustorius estuarius,10 day survival percent;Percent normal-alive,percentage,75,99,75.7575757575758,0,0,8.93853575867044e-06,5,SC,"A;E;X;C;D;O,X,C;O,X",Moderate Toxicity,Whole Sediment;Sediment Water Interface,None,-88,"NA;Survival in Sample A replicate 1 was 90% in initial (3/27/23) test. ;Survival in Sample A replicate 2 was 80% in initial (3/27/23) test. ;Survival in Sample A replicate 3 was 80% in initial (3/27/23) test. ;Survival in Sample A replicate 4 was 80% in initial (3/27/23) test. ;Survival in Sample A replicate 5 was 55% in initial (3/27/23) test. ;Survival in Sample B replicate 1 was 75% in initial (3/27/23) test. ;Survival in Sample B replicate 2 was 90% in initial (3/27/23) test. ;Survival in Sample B replicate 3 was 65% in initial (3/27/23) test. ;Survival in Sample B replicate 4 was 90% in initial (3/27/23) test. ;Survival in Sample B replicate 5 was 85% in initial (3/27/23) test. ;Increased debris observed in the vial during scoring.;An error occurred when terminating the test where portions of one replicate were inadvertently mixed with the prior replicate. Therefore, this replicate was removed from the data analysis.;Observations of significant debris during scoring, counts verified by senior analyst; replicate is a statistical outlier, not excluded from mean normal-alive because replicate 2 was already removed due to error at termination.;More sediment observed in vial compared to others during counting;Survival in Sample C replicate 1 was 75% in initial (3/27/23) test. ;Survival in Sample C replicate 2 was 85% in initial (3/27/23) test. ;Survival in Sample C replicate 3 was 85% in initial (3/27/23) test. ;Survival in Sample C replicate 4 was 90% in initial (3/27/23) test. ;Survival in Sample C replicate 5 was 85% in initial (3/27/23) test. ;Survival in Sample D replicate 1 was 95% in initial (3/27/23) test. ;Survival in Sample D replicate 2 was 90% in initial (3/27/23) test. ;Survival in Sample D replicate 3 was 90% in initial (3/27/23) test. ;Survival in Sample D replicate 4 was 90% in initial (3/27/23) test. ;Survival in Sample D replicate 5 was 90% in initial (3/27/23) test. ;Sample was 14 days and 13 hours old at time of test initiation.;Partial loss of embryos during termination.  Heavy debris also observed. Excluded from analysis using Grubbs Outlier Test;Replicate equilibrated an additional 24 hours with one water exchange prior to test initiation;Salinity at 27 ppt;Salinity at 17 ppt;Previously was the exact same as another batch. Error noticed by Darrin Greenstein, DB change was requested by Angelika Moskova;Complete loss of embryos during test termination.  No bottom on vial due to manufacturer error. Excluded from analysis using Grubbs outlier test;Replicate Likely not initiated, no bodies recovered;SAMPLE NOT INNOCULATED, TECH ERROR;Screen Tube Control;Yaquina Bay Control;Test initially performed within 14 days of sample receipt (3/27/23) was run with incorrect control sediment. Retest initiated on 4/12/23.;Salinity at 32 ppt",,,,,,
200,0000,Enthalpy,CNEG,2303-S210,1,Strongylocentrotus purpuratus,10 day survival percent;Percent normal-alive,percentage,91.445086706,91.445086706,100,7.06054635122245,0.0772107786821005,0.5,5,NSC,"A;E;X;C;D;O,X,C;O,X",,Whole Sediment;Sediment Water Interface,None,-88,"NA;Survival in Sample A replicate 1 was 90% in initial (3/27/23) test. ;Survival in Sample A replicate 2 was 80% in initial (3/27/23) test. ;Survival in Sample A replicate 3 was 80% in initial (3/27/23) test. ;Survival in Sample A replicate 4 was 80% in initial (3/27/23) test. ;Survival in Sample A replicate 5 was 55% in initial (3/27/23) test. ;Survival in Sample B replicate 1 was 75% in initial (3/27/23) test. ;Survival in Sample B replicate 2 was 90% in initial (3/27/23) test. ;Survival in Sample B replicate 3 was 65% in initial (3/27/23) test. ;Survival in Sample B replicate 4 was 90% in initial (3/27/23) test. ;Survival in Sample B replicate 5 was 85% in initial (3/27/23) test. ;Increased debris observed in the vial during scoring.;An error occurred when terminating the test where portions of one replicate were inadvertently mixed with the prior replicate. Therefore, this replicate was removed from the data analysis.;Observations of significant debris during scoring, counts verified by senior analyst; replicate is a statistical outlier, not excluded from mean normal-alive because replicate 2 was already removed due to error at termination.;More sediment observed in vial compared to others during counting;Survival in Sample C replicate 1 was 75% in initial (3/27/23) test. ;Survival in Sample C replicate 2 was 85% in initial (3/27/23) test. ;Survival in Sample C replicate 3 was 85% in initial (3/27/23) test. ;Survival in Sample C replicate 4 was 90% in initial (3/27/23) test. ;Survival in Sample C replicate 5 was 85% in initial (3/27/23) test. ;Survival in Sample D replicate 1 was 95% in initial (3/27/23) test. ;Survival in Sample D replicate 2 was 90% in initial (3/27/23) test. ;Survival in Sample D replicate 3 was 90% in initial (3/27/23) test. ;Survival in Sample D replicate 4 was 90% in initial (3/27/23) test. ;Survival in Sample D replicate 5 was 90% in initial (3/27/23) test. ;Sample was 14 days and 13 hours old at time of test initiation.;Partial loss of embryos during termination.  Heavy debris also observed. Excluded from analysis using Grubbs Outlier Test;Replicate equilibrated an additional 24 hours with one water exchange prior to test initiation;Salinity at 27 ppt;Salinity at 17 ppt;Previously was the exact same as another batch. Error noticed by Darrin Greenstein, DB change was requested by Angelika Moskova;Complete loss of embryos during test termination.  No bottom on vial due to manufacturer error. Excluded from analysis using Grubbs outlier test;Replicate Likely not initiated, no bodies recovered;SAMPLE NOT INNOCULATED, TECH ERROR;Screen Tube Control;Yaquina Bay Control;Test initially performed within 14 days of sample receipt (3/27/23) was run with incorrect control sediment. Retest initiated on 4/12/23.;Salinity at 32 ppt",,,,,,
201,SampleA,Enthalpy,Grab,2303-S210,1,Strongylocentrotus purpuratus,10 day survival percent;Percent normal-alive,percentage,36.47398844,91.445086706,39.8862199751262,25.3458486115789,0.694902030066522,0.00334326518194039,5,SC,"A;E;X;C;D;O,X,C;O,X",,Whole Sediment;Sediment Water Interface,None,-88,"NA;Survival in Sample A replicate 1 was 90% in initial (3/27/23) test. ;Survival in Sample A replicate 2 was 80% in initial (3/27/23) test. ;Survival in Sample A replicate 3 was 80% in initial (3/27/23) test. ;Survival in Sample A replicate 4 was 80% in initial (3/27/23) test. ;Survival in Sample A replicate 5 was 55% in initial (3/27/23) test. ;Survival in Sample B replicate 1 was 75% in initial (3/27/23) test. ;Survival in Sample B replicate 2 was 90% in initial (3/27/23) test. ;Survival in Sample B replicate 3 was 65% in initial (3/27/23) test. ;Survival in Sample B replicate 4 was 90% in initial (3/27/23) test. ;Survival in Sample B replicate 5 was 85% in initial (3/27/23) test. ;Increased debris observed in the vial during scoring.;An error occurred when terminating the test where portions of one replicate were inadvertently mixed with the prior replicate. Therefore, this replicate was removed from the data analysis.;Observations of significant debris during scoring, counts verified by senior analyst; replicate is a statistical outlier, not excluded from mean normal-alive because replicate 2 was already removed due to error at termination.;More sediment observed in vial compared to others during counting;Survival in Sample C replicate 1 was 75% in initial (3/27/23) test. ;Survival in Sample C replicate 2 was 85% in initial (3/27/23) test. ;Survival in Sample C replicate 3 was 85% in initial (3/27/23) test. ;Survival in Sample C replicate 4 was 90% in initial (3/27/23) test. ;Survival in Sample C replicate 5 was 85% in initial (3/27/23) test. ;Survival in Sample D replicate 1 was 95% in initial (3/27/23) test. ;Survival in Sample D replicate 2 was 90% in initial (3/27/23) test. ;Survival in Sample D replicate 3 was 90% in initial (3/27/23) test. ;Survival in Sample D replicate 4 was 90% in initial (3/27/23) test. ;Survival in Sample D replicate 5 was 90% in initial (3/27/23) test. ;Sample was 14 days and 13 hours old at time of test initiation.;Partial loss of embryos during termination.  Heavy debris also observed. Excluded from analysis using Grubbs Outlier Test;Replicate equilibrated an additional 24 hours with one water exchange prior to test initiation;Salinity at 27 ppt;Salinity at 17 ppt;Previously was the exact same as another batch. Error noticed by Darrin Greenstein, DB change was requested by Angelika Moskova;Complete loss of embryos during test termination.  No bottom on vial due to manufacturer error. Excluded from analysis using Grubbs outlier test;Replicate Likely not initiated, no bodies recovered;SAMPLE NOT INNOCULATED, TECH ERROR;Screen Tube Control;Yaquina Bay Control;Test initially performed within 14 days of sample receipt (3/27/23) was run with incorrect control sediment. Retest initiated on 4/12/23.;Salinity at 32 ppt",,,,,,
202,SampleB,Enthalpy,Grab,2303-S210,1,Strongylocentrotus purpuratus,10 day survival percent;Percent normal-alive,percentage,12.0664739875,91.445086706,13.195322375596,23.7479823464953,1.96809626168311,0.0024785474477449,4,SC,"A;E;X;C;D;O,X,C;O,X",,Whole Sediment;Sediment Water Interface,None,-88,"NA;Survival in Sample A replicate 1 was 90% in initial (3/27/23) test. ;Survival in Sample A replicate 2 was 80% in initial (3/27/23) test. ;Survival in Sample A replicate 3 was 80% in initial (3/27/23) test. ;Survival in Sample A replicate 4 was 80% in initial (3/27/23) test. ;Survival in Sample A replicate 5 was 55% in initial (3/27/23) test. ;Survival in Sample B replicate 1 was 75% in initial (3/27/23) test. ;Survival in Sample B replicate 2 was 90% in initial (3/27/23) test. ;Survival in Sample B replicate 3 was 65% in initial (3/27/23) test. ;Survival in Sample B replicate 4 was 90% in initial (3/27/23) test. ;Survival in Sample B replicate 5 was 85% in initial (3/27/23) test. ;Increased debris observed in the vial during scoring.;An error occurred when terminating the test where portions of one replicate were inadvertently mixed with the prior replicate. Therefore, this replicate was removed from the data analysis.;Observations of significant debris during scoring, counts verified by senior analyst; replicate is a statistical outlier, not excluded from mean normal-alive because replicate 2 was already removed due to error at termination.;More sediment observed in vial compared to others during counting;Survival in Sample C replicate 1 was 75% in initial (3/27/23) test. ;Survival in Sample C replicate 2 was 85% in initial (3/27/23) test. ;Survival in Sample C replicate 3 was 85% in initial (3/27/23) test. ;Survival in Sample C replicate 4 was 90% in initial (3/27/23) test. ;Survival in Sample C replicate 5 was 85% in initial (3/27/23) test. ;Survival in Sample D replicate 1 was 95% in initial (3/27/23) test. ;Survival in Sample D replicate 2 was 90% in initial (3/27/23) test. ;Survival in Sample D replicate 3 was 90% in initial (3/27/23) test. ;Survival in Sample D replicate 4 was 90% in initial (3/27/23) test. ;Survival in Sample D replicate 5 was 90% in initial (3/27/23) test. ;Sample was 14 days and 13 hours old at time of test initiation.;Partial loss of embryos during termination.  Heavy debris also observed. Excluded from analysis using Grubbs Outlier Test;Replicate equilibrated an additional 24 hours with one water exchange prior to test initiation;Salinity at 27 ppt;Salinity at 17 ppt;Previously was the exact same as another batch. Error noticed by Darrin Greenstein, DB change was requested by Angelika Moskova;Complete loss of embryos during test termination.  No bottom on vial due to manufacturer error. Excluded from analysis using Grubbs outlier test;Replicate Likely not initiated, no bodies recovered;SAMPLE NOT INNOCULATED, TECH ERROR;Screen Tube Control;Yaquina Bay Control;Test initially performed within 14 days of sample receipt (3/27/23) was run with incorrect control sediment. Retest initiated on 4/12/23.;Salinity at 32 ppt",,,,,,
