"Labcode","QABatch","StationID","Parameter","Matrix","Dilution","Concentration","Timepoint","Qualifier","Value"
"AB","72798","0000","NH3T","RT",0.00,0.32,0.00,"<",1.00
"AB","72798","0000","NH3T","RT",0.00,0.00,0.00,"<",1.00
"AB","72798","0000","DO","RT",0.00,0.00,10.00,,7.70
"AB","72798","0000","DO","RT",0.00,0.32,10.00,,7.70
"AB","72798","0000","SAL","RT",0.00,10.00,10.00,,20.00
"AB","72798","0000","PH","OL",0.00,0.00,10.00,,8.00
"AB","72798","0000","SAL","RT",0.00,3.20,10.00,,20.00
"AB","72798","0000","NH3T","RT",0.00,3.20,10.00,"<",1.00
"AB","72798","0000","NH3T","RT",0.00,5.60,10.00,"<",1.00
"AB","72798","0000","NH3T","RT",0.00,10.00,10.00,"<",1.00
"AB","72798","0000","NH3T","IW",0.00,0.00,0.00,"<",1.00
"AB","72798","0000","DO","OL",0.00,0.00,0.00,,9.30
"AB","72798","0000","NH3T","RT",0.00,1.00,10.00,"<",1.00
"AB","72798","0000","PH","RT",0.00,5.60,0.00,,8.10
"AB","72798","0000","PH","RT",0.00,10.00,0.00,,8.10
"AB","72798","0000","PH","RT",0.00,1.00,0.00,,8.10
"AB","72798","0000","PH","RT",0.00,0.32,0.00,,8.10
"AB","72798","0000","PH","RT",0.00,0.00,0.00,,8.10
"AB","72798","0000","SAL","IW",0.00,0.00,0.00,,20.00
"AB","72798","0000","PH","IW",0.00,0.00,0.00,,7.80
"AB","72798","0000","PH","OL",0.00,0.00,0.00,,7.80
"AB","72798","0000","DO","RT",0.00,3.20,0.00,,7.60
"AB","72798","0000","NH3T","RT",0.00,0.00,10.00,"<",1.00
"AB","72798","0000","DO","RT",0.00,1.00,0.00,,7.70
"AB","72798","0000","PH","RT",0.00,3.20,0.00,,8.10
"AB","72798","0000","NH3T","RT",0.00,0.32,10.00,"<",1.00
"AB","72798","0000","DO","RT",0.00,0.32,0.00,,7.60
"AB","72798","0000","DO","RT",0.00,0.00,0.00,,7.40
"AB","72798","2129","PH","OL",0.00,0.00,10.00,,8.00
"AB","72798","2129","NH3T","IW",0.00,0.00,0.00,,2.00
"AB","72798","2129","NH3T","OL",0.00,0.00,0.00,"<",1.00
"AB","72798","2129","DO","OL",0.00,0.00,10.00,,8.10
"AB","72798","2129","SAL","IW",0.00,0.00,0.00,,25.00
"AB","72798","2129","SAL","OL",0.00,0.00,10.00,,21.00
"AB","72798","2129","PH","OL",0.00,0.00,0.00,,7.80
"AB","72798","2129","NH3T","OL",0.00,0.00,10.00,,3.00
"AB","72798","2129","DO","OL",0.00,0.00,0.00,,9.30
"AB","72798","2129","PH","IW",0.00,0.00,0.00,,7.80
"AB","72798","2129","SAL","OL",0.00,0.00,0.00,,20.00
"AB","72798","2139","PH","IW",0.00,0.00,0.00,,7.70
"AB","72798","2139","NH3T","IW",0.00,0.00,0.00,,1.00
"AB","72798","2139","PH","OL",0.00,0.00,10.00,,8.00
"AB","72798","2139","SAL","IW",0.00,0.00,0.00,,25.00
"AB","72798","2139","PH","OL",0.00,0.00,0.00,,7.80
"AB","72798","2139","NH3T","OL",0.00,0.00,0.00,"<",1.00
"AB","72798","2139","DO","OL",0.00,0.00,10.00,,7.80
"AB","72798","2139","DO","OL",0.00,0.00,0.00,,9.10
"AB","72798","2139","NH3T","OL",0.00,0.00,10.00,,1.00
"AB","72798","2139","SAL","OL",0.00,0.00,10.00,,21.00
"AB","72798","2139","SAL","OL",0.00,0.00,0.00,,20.00
"AB","72798","2308","NH3T","OL",0.00,0.00,10.00,,1.00
"AB","72798","2308","SAL","IW",0.00,0.00,0.00,,25.00
"AB","72798","2308","PH","IW",0.00,0.00,0.00,,7.70
"AB","72798","2308","NH3T","IW",0.00,0.00,0.00,,2.00
"AB","72798","2308","SAL","OL",0.00,0.00,10.00,,21.00
"AB","72798","2308","DO","OL",0.00,0.00,10.00,,8.20
"AB","72798","2308","PH","OL",0.00,0.00,10.00,,8.00
"AB","72798","2308","DO","OL",0.00,0.00,0.00,,9.40
"AB","72798","2308","SAL","OL",0.00,0.00,0.00,,20.00
"AB","72798","2308","PH","OL",0.00,0.00,0.00,,7.80
"AB","72798","2308","NH3T","OL",0.00,0.00,0.00,"<",1.00
"AB","72798","2310","NH3T","OL",0.00,0.00,10.00,"<",1.00
"AB","72798","2310","NH3T","IW",0.00,0.00,0.00,,5.00
"AB","72798","2310","DO","OL",0.00,0.00,0.00,,9.10
"AB","72798","2310","SAL","OL",0.00,0.00,10.00,,23.00
"AB","72798","2310","SAL","OL",0.00,0.00,0.00,,20.00
"AB","72798","2310","NH3T","OL",0.00,0.00,0.00,"<",1.00
"AB","72798","2310","SAL","IW",0.00,0.00,0.00,,24.00
"AB","72798","2310","DO","OL",0.00,0.00,10.00,,8.20
"AB","72798","2310","PH","OL",0.00,0.00,0.00,,7.80
"AB","72798","2310","PH","IW",0.00,0.00,0.00,,7.60
"AB","72798","2310","PH","OL",0.00,0.00,10.00,,8.00
"AB","72798","2330","SAL","OL",0.00,0.00,10.00,,21.00
"AB","72798","2330","NH3T","OL",0.00,0.00,0.00,"<",1.00
"AB","72798","2330","DO","OL",0.00,0.00,0.00,,9.20
"AB","72798","2330","PH","IW",0.00,0.00,0.00,,7.70
"AB","72798","2330","DO","OL",0.00,0.00,10.00,,7.90
"AB","72798","2330","PH","OL",0.00,0.00,10.00,,8.00
"AB","72798","2330","NH3T","OL",0.00,0.00,10.00,"<",1.00
"AB","72798","2330","SAL","OL",0.00,0.00,0.00,,20.00
"AB","72798","2330","SAL","IW",0.00,0.00,0.00,,24.00
"AB","72798","2330","NH3T","IW",0.00,0.00,0.00,"<",1.00
"AB","72798","2330","PH","OL",0.00,0.00,0.00,,7.80
"AB","72798","2343","DO","OL",0.00,0.00,10.00,,8.60
"AB","72798","2343","DO","OL",0.00,0.00,0.00,,9.20
"AB","72798","2343","NH3T","IW",0.00,0.00,0.00,"<",1.00
"AB","72798","2343","SAL","OL",0.00,0.00,0.00,,20.00
"AB","72798","2343","PH","OL",0.00,0.00,10.00,,8.00
"AB","72798","2343","NH3T","OL",0.00,0.00,0.00,"<",1.00
"AB","72798","2343","PH","IW",0.00,0.00,0.00,,7.40
"AB","72798","2343","PH","OL",0.00,0.00,0.00,,7.80
"AB","72798","2343","SAL","OL",0.00,0.00,10.00,,23.00
"AB","72798","2343","SAL","IW",0.00,0.00,0.00,,25.00
"AB","72798","2343","NH3T","OL",0.00,0.00,10.00,"<",1.00
"AB","72798","2344","NH3T","OL",0.00,0.00,10.00,"<",1.00
"AB","72798","2344","SAL","OL",0.00,0.00,0.00,,20.00
"AB","72798","2344","DO","OL",0.00,0.00,0.00,,9.40
"AB","72798","2344","NH3T","IW",0.00,0.00,0.00,"<",1.00
"AB","72798","2344","SAL","OL",0.00,0.00,10.00,,22.00
"AB","72798","2344","PH","IW",0.00,0.00,0.00,,7.60
"AB","72798","2344","NH3T","OL",0.00,0.00,0.00,"<",1.00
"AB","72798","2344","SAL","IW",0.00,0.00,0.00,,24.00
"AB","72798","2344","PH","OL",0.00,0.00,0.00,,7.80
"AB","72798","2344","DO","OL",0.00,0.00,10.00,,8.10
"AB","72798","2344","PH","OL",0.00,0.00,10.00,,8.10
"AB","72798","2373","PH","OL",0.00,0.00,0.00,,7.80
"AB","72798","2373","DO","OL",0.00,0.00,0.00,,9.50
"AB","72798","2373","NH3T","IW",0.00,0.00,0.00,,4.00
"AB","72798","2373","SAL","IW",0.00,0.00,0.00,,28.00
"AB","72798","2373","PH","IW",0.00,0.00,0.00,,7.60
"AB","72798","2373","DO","OL",0.00,0.00,10.00,,8.20
"AB","72798","2373","NH3T","OL",0.00,0.00,10.00,,1.00
"AB","72798","2373","PH","OL",0.00,0.00,10.00,,8.00
"AB","72798","2373","NH3T","OL",0.00,0.00,0.00,"<",1.00
"AB","72798","2373","SAL","OL",0.00,0.00,0.00,,20.00
"AB","72798","2373","SAL","OL",0.00,0.00,10.00,,22.00
"AB","72798","2375","SAL","IW",0.00,0.00,0.00,,24.00
"AB","72798","2375","PH","OL",0.00,0.00,0.00,,7.80
"AB","72798","2375","PH","OL",0.00,0.00,10.00,,8.00
"AB","72798","2375","DO","OL",0.00,0.00,10.00,,8.20
"AB","72798","2375","PH","IW",0.00,0.00,0.00,,7.50
"AB","72798","2375","NH3T","OL",0.00,0.00,0.00,"<",1.00
"AB","72798","2375","SAL","OL",0.00,0.00,10.00,,23.00
"AB","72798","2375","NH3T","IW",0.00,0.00,0.00,"<",1.00
"AB","72798","2375","NH3T","OL",0.00,0.00,10.00,"<",1.00
"AB","72798","2375","SAL","OL",0.00,0.00,0.00,,20.00
"AB","72798","2375","DO","OL",0.00,0.00,0.00,,9.40
"AB","72798","2377","PH","OL",0.00,0.00,0.00,,7.80
"AB","72798","2377","SAL","IW",0.00,0.00,0.00,,24.00
"AB","72798","2377","NH3T","OL",0.00,0.00,0.00,"<",1.00
"AB","72798","2377","DO","OL",0.00,0.00,0.00,,9.40
"AB","72798","2377","PH","IW",0.00,0.00,0.00,,7.40
"AB","72798","2377","PH","OL",0.00,0.00,10.00,,8.00
"AB","72798","2377","SAL","OL",0.00,0.00,10.00,,21.00
"AB","72798","2377","DO","OL",0.00,0.00,10.00,,8.10
"AB","72798","2377","NH3T","IW",0.00,0.00,0.00,,4.00
"AB","72798","2377","NH3T","OL",0.00,0.00,10.00,,1.00
"AB","72798","2377","SAL","OL",0.00,0.00,0.00,,20.00
"AB","72798","2378","PH","IW",0.00,0.00,0.00,,7.50
"AB","72798","2378","PH","OL",0.00,0.00,0.00,,7.80
"AB","72798","2378","DO","OL",0.00,0.00,0.00,,9.10
"AB","72798","2378","DO","OL",0.00,0.00,10.00,,7.80
"AB","72798","2378","PH","OL",0.00,0.00,10.00,,8.00
"AB","72798","2378","NH3T","OL",0.00,0.00,10.00,,2.00
"AB","72798","2378","SAL","OL",0.00,0.00,10.00,,21.00
"AB","72798","2378","SAL","IW",0.00,0.00,0.00,,25.00
"AB","72798","2378","NH3T","OL",0.00,0.00,0.00,"<",1.00
"AB","72798","2378","NH3T","IW",0.00,0.00,0.00,,5.00
"AB","72798","2378","SAL","OL",0.00,0.00,0.00,,20.00
"AB","72798","2379","PH","IW",0.00,0.00,0.00,,7.60
"AB","72798","2379","SAL","IW",0.00,0.00,0.00,,25.00
"AB","72798","2379","PH","OL",0.00,0.00,10.00,,7.90
"AB","72798","2379","NH3T","OL",0.00,0.00,10.00,,1.00
"AB","72798","2379","NH3T","IW",0.00,0.00,0.00,,2.00
"AB","72798","2379","SAL","OL",0.00,0.00,0.00,,20.00
"AB","72798","2379","NH3T","OL",0.00,0.00,0.00,"<",1.00
"AB","72798","2379","SAL","OL",0.00,0.00,10.00,,22.00
"AB","72798","2379","DO","OL",0.00,0.00,0.00,,9.10
"AB","72798","2379","PH","OL",0.00,0.00,0.00,,7.80
"AB","72798","2379","DO","OL",0.00,0.00,10.00,,7.90
"NV","73098","2136","PH","EL",1.00,0.00,0.00,,7.80
"NV","73098","2136","SAL","EL",1.00,0.00,0.00,,34.00
"NV","73098","2136","NH3T","EL",1.00,0.00,0.00,,0.70
"NV","73098","2136","NH3U","EL",1.00,0.00,0.00,,0.01
"NV","73098","2136","TEMP","EL",1.00,0.00,0.00,,20.60
"NV","73098","2137","NH3U","EL",1.00,0.00,0.00,,0.03
"NV","73098","2137","PH","EL",1.00,0.00,0.00,,7.89
"NV","73098","2137","SAL","EL",1.00,0.00,0.00,,34.00
"NV","73098","2137","TEMP","EL",1.00,0.00,0.00,,20.60
"NV","73098","2137","NH3T","EL",1.00,0.00,0.00,,1.55
"NV","73098","2138","NH3T","EL",1.00,0.00,0.00,,2.36
"NV","73098","2138","TEMP","EL",1.00,0.00,0.00,,20.50
"NV","73098","2138","SAL","EL",1.00,0.00,0.00,,34.00
"NV","73098","2138","PH","EL",1.00,0.00,0.00,,7.82
"NV","73098","2138","NH3U","EL",1.00,0.00,0.00,,0.05
"NV","73098","2141","NH3T","EL",1.00,0.00,0.00,,1.79
"NV","73098","2141","NH3U","EL",1.00,0.00,0.00,,0.03
"NV","73098","2141","TEMP","EL",1.00,0.00,0.00,,20.50
"NV","73098","2141","SAL","EL",1.00,0.00,0.00,,34.00
"NV","73098","2141","PH","EL",1.00,0.00,0.00,,7.81
"NV","73098","2142","NH3U","EL",1.00,0.00,0.00,,0.02
"NV","73098","2142","NH3T","EL",1.00,0.00,0.00,,1.26
"NV","73098","2142","TEMP","EL",1.00,0.00,0.00,,20.60
"NV","73098","2142","SAL","EL",1.00,0.00,0.00,,34.00
"NV","73098","2142","PH","EL",1.00,0.00,0.00,,7.83
"NV","73098","2143","TEMP","EL",1.00,0.00,0.00,,20.60
"NV","73098","2143","NH3T","EL",1.00,0.00,0.00,,1.47
"NV","73098","2143","NH3U","EL",1.00,0.00,0.00,,0.02
"NV","73098","2143","SAL","EL",1.00,0.00,0.00,,34.00
"NV","73098","2143","PH","EL",1.00,0.00,0.00,,7.77
"AB","80798","0000","SAL","RT",0.00,0.00,10.00,,20.00
"AB","80798","0000","SAL","OL",0.00,0.00,10.00,,20.00
"AB","80798","0000","DO","RT",0.00,10.00,10.00,,8.30
"AB","80798","0000","DO","RT",0.00,5.60,10.00,,8.50
"AB","80798","0000","DO","RT",0.00,3.20,10.00,,8.40
"AB","80798","0000","DO","RT",0.00,1.00,10.00,,8.40
"AB","80798","0000","PH","RT",0.00,5.60,10.00,,7.60
"AB","80798","0000","DO","RT",0.00,0.00,10.00,,8.50
"AB","80798","0000","DO","OL",0.00,0.00,10.00,,8.30
"AB","80798","0000","PH","RT",0.00,10.00,10.00,,7.60
"AB","80798","0000","SAL","RT",0.00,0.32,10.00,,20.00
"AB","80798","0000","PH","RT",0.00,1.00,10.00,,7.60
"AB","80798","0000","PH","RT",0.00,3.20,10.00,,7.60
"AB","80798","0000","DO","RT",0.00,0.32,10.00,,8.70
"AB","80798","0000","SAL","RT",0.00,1.00,10.00,,20.00
"AB","80798","0000","SAL","RT",0.00,3.20,10.00,,20.00
"AB","80798","0000","SAL","RT",0.00,5.60,10.00,,20.00
"AB","80798","0000","SAL","RT",0.00,10.00,10.00,,20.00
"AB","80798","0000","NH3T","OL",0.00,0.00,10.00,"<",1.00
"AB","80798","0000","NH3T","RT",0.00,0.00,10.00,"<",1.00
"AB","80798","0000","NH3T","RT",0.00,1.00,10.00,"<",1.00
"AB","80798","0000","NH3T","RT",0.00,3.20,10.00,"<",1.00
"AB","80798","0000","SAL","IW",0.00,0.00,0.00,,21.00
"AB","80798","0000","NH3T","RT",0.00,5.60,10.00,"<",1.00
"AB","80798","0000","NH3T","RT",0.00,10.00,10.00,"<",1.00
"AB","80798","0000","NH3T","IW",0.00,0.00,0.00,"<",1.00
"AB","80798","0000","PH","RT",0.00,0.32,10.00,,7.60
"AB","80798","0000","PH","RT",0.00,0.32,0.00,,7.50
"AB","80798","0000","NH3T","RT",0.00,0.32,10.00,"<",1.00
"AB","80798","0000","SAL","RT",0.00,0.32,0.00,,20.00
"AB","80798","0000","PH","IW",0.00,0.00,0.00,,7.60
"AB","80798","0000","DO","OL",0.00,0.00,0.00,,7.60
"AB","80798","0000","PH","OL",0.00,0.00,0.00,,7.80
"AB","80798","0000","PH","RT",0.00,0.00,0.00,,7.50
"AB","80798","0000","PH","RT",0.00,1.00,0.00,,7.50
"AB","80798","0000","PH","RT",0.00,10.00,0.00,,7.50
"AB","80798","0000","DO","RT",0.00,0.00,0.00,,7.00
"AB","80798","0000","DO","RT",0.00,0.32,0.00,,7.40
"AB","80798","0000","DO","RT",0.00,1.00,0.00,,7.20
"AB","80798","0000","DO","RT",0.00,3.20,0.00,,7.00
"AB","80798","0000","DO","RT",0.00,5.60,0.00,,7.20
"AB","80798","0000","DO","RT",0.00,10.00,0.00,,7.30
"AB","80798","0000","PH","RT",0.00,3.20,0.00,,7.50
"AB","80798","0000","SAL","RT",0.00,0.00,0.00,,20.00
"AB","80798","0000","PH","RT",0.00,0.00,10.00,,7.60
"AB","80798","0000","SAL","RT",0.00,1.00,0.00,,20.00
"AB","80798","0000","SAL","RT",0.00,3.20,0.00,,20.00
"AB","80798","0000","SAL","RT",0.00,5.60,0.00,,20.00
"AB","80798","0000","SAL","RT",0.00,10.00,0.00,,20.00
"AB","80798","0000","NH3T","OL",0.00,0.00,0.00,"<",1.00
"AB","80798","0000","NH3T","RT",0.00,0.00,0.00,"<",1.00
"AB","80798","0000","NH3T","RT",0.00,0.32,0.00,"<",1.00
"AB","80798","0000","NH3T","RT",0.00,1.00,0.00,"<",1.00
"AB","80798","0000","NH3T","RT",0.00,3.20,0.00,"<",1.00
"AB","80798","0000","NH3T","RT",0.00,5.60,0.00,"<",1.00
"AB","80798","0000","NH3T","RT",0.00,10.00,0.00,"<",1.00
"AB","80798","0000","PH","OL",0.00,0.00,10.00,,7.90
"AB","80798","0000","SAL","OL",0.00,0.00,0.00,,20.00
"AB","80798","0000","PH","RT",0.00,5.60,0.00,,7.50
"AB","80798","2130","PH","OL",0.00,0.00,10.00,,8.10
"AB","80798","2130","PH","OL",0.00,0.00,0.00,,7.80
"AB","80798","2130","PH","IW",0.00,0.00,0.00,,7.70
"AB","80798","2130","DO","OL",0.00,0.00,0.00,,7.60
"AB","80798","2130","SAL","OL",0.00,0.00,0.00,,20.00
"AB","80798","2130","SAL","IW",0.00,0.00,0.00,,25.00
"AB","80798","2130","NH3T","OL",0.00,0.00,0.00,,1.00
"AB","80798","2130","DO","OL",0.00,0.00,10.00,,8.20
"AB","80798","2130","NH3T","IW",0.00,0.00,0.00,,5.00
"AB","80798","2130","SAL","OL",0.00,0.00,10.00,,22.00
"AB","80798","2130","NH3T","OL",0.00,0.00,10.00,"<",1.00
"AB","80798","2131","SAL","IW",0.00,0.00,0.00,,25.00
"AB","80798","2131","NH3T","IW",0.00,0.00,0.00,,4.00
"AB","80798","2131","NH3T","OL",0.00,0.00,10.00,,3.00
"AB","80798","2131","SAL","OL",0.00,0.00,10.00,,22.00
"AB","80798","2131","PH","IW",0.00,0.00,0.00,,7.30
"AB","80798","2131","PH","OL",0.00,0.00,10.00,,8.20
"AB","80798","2131","NH3T","OL",0.00,0.00,0.00,"<",1.00
"AB","80798","2131","SAL","OL",0.00,0.00,0.00,,20.00
"AB","80798","2131","DO","OL",0.00,0.00,0.00,,7.30
"AB","80798","2131","PH","OL",0.00,0.00,0.00,,7.90
"AB","80798","2131","DO","OL",0.00,0.00,10.00,,8.20
"AB","80798","2132","NH3T","OL",0.00,0.00,10.00,"<",1.00
"AB","80798","2132","DO","OL",0.00,0.00,10.00,,8.10
"AB","80798","2132","PH","IW",0.00,0.00,0.00,,7.80
"AB","80798","2132","PH","OL",0.00,0.00,0.00,,7.90
"AB","80798","2132","SAL","IW",0.00,0.00,0.00,,26.00
"AB","80798","2132","NH3T","OL",0.00,0.00,0.00,"<",1.00
"AB","80798","2132","SAL","OL",0.00,0.00,10.00,,21.00
"AB","80798","2132","DO","OL",0.00,0.00,0.00,,7.20
"AB","80798","2132","NH3T","IW",0.00,0.00,0.00,,4.00
"AB","80798","2132","SAL","OL",0.00,0.00,0.00,,20.00
"AB","80798","2132","PH","OL",0.00,0.00,10.00,,8.10
"AB","80798","2262","PH","OL",0.00,0.00,10.00,,8.00
"AB","80798","2262","SAL","OL",0.00,0.00,10.00,,22.00
"AB","80798","2262","NH3T","OL",0.00,0.00,0.00,"<",1.00
"AB","80798","2262","NH3T","OL",0.00,0.00,10.00,,6.00
"AB","80798","2262","SAL","OL",0.00,0.00,0.00,,20.00
"AB","80798","2262","DO","OL",0.00,0.00,10.00,,8.30
"AB","80798","2262","SAL","IW",0.00,0.00,0.00,,30.00
"AB","80798","2262","DO","OL",0.00,0.00,0.00,,7.80
"AB","80798","2262","PH","IW",0.00,0.00,0.00,,7.50
"AB","80798","2262","PH","OL",0.00,0.00,0.00,,7.80
"AB","80798","2262","NH3T","IW",0.00,0.00,0.00,,3.00
"AB","80798","2263","NH3T","OL",0.00,0.00,10.00,"<",1.00
"AB","80798","2263","NH3T","IW",0.00,0.00,0.00,,3.00
"AB","80798","2263","SAL","IW",0.00,0.00,0.00,,26.00
"AB","80798","2263","SAL","OL",0.00,0.00,10.00,,21.00
"AB","80798","2263","DO","OL",0.00,0.00,10.00,,8.50
"AB","80798","2263","PH","IW",0.00,0.00,0.00,,7.70
"AB","80798","2263","PH","OL",0.00,0.00,0.00,,7.80
"AB","80798","2263","PH","OL",0.00,0.00,10.00,,8.00
"AB","80798","2263","SAL","OL",0.00,0.00,0.00,,20.00
"AB","80798","2263","NH3T","OL",0.00,0.00,0.00,"<",1.00
"AB","80798","2263","DO","OL",0.00,0.00,0.00,,7.80
"AB","80798","2265","DO","OL",0.00,0.00,0.00,,7.20
"AB","80798","2265","PH","OL",0.00,0.00,10.00,,8.00
"AB","80798","2265","NH3T","OL",0.00,0.00,10.00,,2.00
"AB","80798","2265","NH3T","IW",0.00,0.00,0.00,,3.00
"AB","80798","2265","DO","OL",0.00,0.00,10.00,,8.90
"AB","80798","2265","NH3T","OL",0.00,0.00,0.00,"<",1.00
"AB","80798","2265","SAL","OL",0.00,0.00,0.00,,20.00
"AB","80798","2265","SAL","IW",0.00,0.00,0.00,,26.00
"AB","80798","2265","PH","OL",0.00,0.00,0.00,,7.80
"AB","80798","2265","PH","IW",0.00,0.00,0.00,,7.80
"AB","80798","2265","SAL","OL",0.00,0.00,10.00,,20.00
"AB","80798","2328","NH3T","IW",0.00,0.00,0.00,,5.00
"AB","80798","2328","DO","OL",0.00,0.00,0.00,,7.40
"AB","80798","2328","PH","OL",0.00,0.00,0.00,,7.80
"AB","80798","2328","PH","IW",0.00,0.00,0.00,,7.70
"AB","80798","2328","DO","OL",0.00,0.00,10.00,,8.50
"AB","80798","2328","SAL","OL",0.00,0.00,0.00,,20.00
"AB","80798","2328","PH","OL",0.00,0.00,10.00,,8.00
"AB","80798","2328","SAL","IW",0.00,0.00,0.00,,27.00
"AB","80798","2328","SAL","OL",0.00,0.00,10.00,,20.00
"AB","80798","2328","NH3T","OL",0.00,0.00,0.00,"<",1.00
"AB","80798","2328","NH3T","OL",0.00,0.00,10.00,"<",1.00
"AB","80798","2329","PH","OL",0.00,0.00,10.00,,8.00
"AB","80798","2329","NH3T","OL",0.00,0.00,0.00,"<",1.00
"AB","80798","2329","PH","IW",0.00,0.00,0.00,,7.80
"AB","80798","2329","SAL","IW",0.00,0.00,0.00,,24.00
