"QABatch","LabCode","Species","Protocol","TestDate","Matrix","TestDuration","TestDurationUnits","Temperature","TemperatureUnits","TestAcceptability","Comments"
"B08MG12","WS","MG","Anderson1996",9/3/2008 0:00:00,"SWI",2.00,"Days",15.00,"C","A",
"B08MG13","WS","MG","Anderson1996",9/3/2008 0:00:00,"SWI",2.00,"Days",15.00,"C","A",
"B08MG14","WS","MG","Anderson1996",9/3/2008 0:00:00,"SWI",2.00,"Days",15.00,"C","A",
"B08MG15","WS","MG","Anderson1996",9/3/2008 0:00:00,"SWI",2.00,"Days",15.00,"C","A",
"B08MGAH","WS","MG","Anderson1996",7/17/2008 0:00:00,"SWI",2.00,"Days",15.00,"C","A",
"B08MGBL","WS","MG","Anderson1996",8/12/2008 0:00:00,"SWI",2.00,"Days",15.00,"C","D","one replicate in control had 0 normal; possible contamination"
"B08MGLPL","WS","MG","Anderson1996",7/31/2008 0:00:00,"SWI",2.00,"Days",15.00,"C","A",
"B08MGSDR","WS","MG","Anderson1996",7/17/2008 0:00:00,"SWI",2.00,"Days",15.00,"C","A",
"B08MGSEL","WS","MG","Anderson1996",7/25/2008 0:00:00,"SWI",2.00,"Days",15.00,"C","A",
"B08MGSPLIT","WS","MG","Anderson1996",7/25/2008 0:00:00,"SWI",2.00,"Days",15.00,"C","A",
"B08MGSW","WS","MG","Anderson1996",7/17/2008 0:00:00,"SWI",2.00,"Days",15.00,"C","A",
"B08MGTJR","WS","MG","Anderson1996",7/25/2008 0:00:00,"SWI",2.00,"Days",15.00,"C","A",
"CSD003","CSD","EE","EPA 1994",7/10/2008 0:00:00,"BS",10.00,"Days",15.00,"C","A",
"CSD005","CSD","EE","EPA 1994",7/25/2008 0:00:00,"BS",10.00,"Days",15.00,"C","A",
"CSD007","CSD","EE","EPA 1994",8/2/2008 0:00:00,"BS",10.00,"Days",15.00,"C","A",
"CSD008","CSD","EE","EPA 1994",8/8/2008 0:00:00,"BS",10.00,"Days",15.00,"C","A",
"EOHT 10.3.2008","ABC","EE","EPA 1994",10/3/2008 0:00:00,"BS",10.00,"Days",15.00,"C","A",
"EOHT 7.31.2008","ABC","EE","EPA 1994",7/25/2008 0:00:00,"BS",10.00,"Days",15.00,"C","A",
"EOHT 8.11.2008","ABC","EE","EPA 1994",8/5/2008 0:00:00,"BS",10.00,"Days",15.00,"C","A",
"EOHT 9.1.2008","ABC","EE","EPA 1994",8/26/2008 0:00:00,"BS",10.00,"Days",15.00,"C","A",
"EOHT 9.12.2008","ABC","EE","EPA 1994",9/12/2008 0:00:00,"BS",10.00,"Days",15.00,"C","A",
"EOHT 9.7.2008","ABC","EE","EPA 1994",9/5/2008 0:00:00,"BS",10.00,"Days",15.00,"C","A",
"GC_B08EE1_S_TOX","GTCN","EE","EPA 1994",7/29/2008 0:00:00,"BS",10.00,"Days",15.00,"C","A",
"GC_B08EE2_S_TOX","GTCN","EE","EPA 1994",8/8/2008 0:00:00,"BS",10.00,"Days",15.00,"C","A",
"GC_B08EE3_S_TOX","GTCN","EE","EPA 1994",8/15/2008 0:00:00,"BS",10.00,"Days",15.00,"C","A",
"GC_B08EE4_S_TOX","GTCN","EE","EPA 1994",9/5/2008 0:00:00,"BS",10.00,"Days",15.00,"C","A",
"GC_B08EE5_S_TOX","GTCN","EE","EPA 1994",9/19/2008 0:00:00,"BS",10.00,"Days",15.00,"C","AH",
"GC_B08EE6_S_TOX","GTCN","EE","EPA 1994",10/24/2008 0:00:00,"BS",10.00,"Days",15.00,"C","A",
"GC_B08MG1_S_TOX","GTCN","MG","Anderson1996",7/29/2008 0:00:00,"SWI",2.00,"Days",15.00,"C","A",
"GC_B08MG2_S_TOX","GTCN","MG","Anderson1996",8/5/2008 0:00:00,"SWI",2.00,"Days",15.00,"C","A",
"GC_B08MG3_S_TOX","GTCN","MG","Anderson1996",8/20/2008 0:00:00,"SWI",2.00,"Days",15.00,"C","A",
"GC_B08MG4_S_TOX","GTCN","MG","Anderson1996",9/10/2008 0:00:00,"SWI",2.00,"Days",15.00,"C","A",
"GC_B08MG5_S_TOX","GTCN","MG","Anderson1996",9/24/2008 0:00:00,"SWI",2.00,"Days",15.00,"C","AH",
"GC_B08MG6_S_TOX","GTCN","MG","Anderson1996",10/7/2008 0:00:00,"SWI",2.00,"Days",15.00,"C","Q",
"OCSD03","OCSD","EE","EPA 1994",7/22/2008 0:00:00,"BS",10.00,"Days",15.00,"C","A",
