"StationID","Stratum","Location","Latitude","Longitude","BAYHARBORS","MARINAS","BATH6","BATH30","Bath120to200","Bath200to500","Bath500to1000","ESTUARY","ESTUARYLA","USGS","SPME","ChannelIslands","LPOTW","SPOTW","SMB_NEC","GrabAreaWeight","ToxAreaWeight","FishAssemblageAreaWeight","FishBioaccumAreaWeight","SPMEAreaWeight"
"4022","Large POTW Outfalls","Santa Monica Bay",33.87,-118.51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"0","0",0,0.00,0.00,1.00,0.00,1.00,5.01,0.00,5.01,0.00,0.00
"4023","Outer shelf (120-200 m)","East Santa Barbara Channel",34.30,-119.71,0.00,0.00,0.00,0.00,1.00,0.00,0.00,"0","0",0,0.00,0.00,0.00,0.00,0.00,20.43,105.11,15.59,0.00,0.00
"4024","Small POTW Outfalls","North San Diego Shelf",33.11,-117.36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"0","0",0,0.00,0.00,0.00,1.00,0.00,0.93,0.00,0.93,0.00,0.00
"4025","Lower slope and basin (500-1000 m)","Hueneme to Dume",33.73,-119.06,0.00,0.00,0.00,0.00,0.00,0.00,1.00,"0","0",0,0.00,0.00,0.00,0.00,0.00,221.76,0.00,0.00,0.00,0.00
"4026","Mid-shelf (30-120 m)","San Pedro Shelf",33.62,-118.19,0.00,0.00,0.00,1.00,0.00,0.00,0.00,"0","0",0,3.00,0.00,0.00,0.00,0.00,55.67,105.11,61.24,125.58,0.00
"4027","Channel Islands (5-200 m)","Island Shelves",34.11,-119.93,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"0","0",0,0.00,1.00,0.00,0.00,0.00,37.75,37.75,37.75,0.00,0.00
"4028","Ports/Bays/Harbors","San Diego Bay",32.67,-117.14,1.00,0.00,0.00,0.00,0.00,0.00,0.00,"0","0",0,0.00,0.00,0.00,0.00,0.00,2.73,2.82,2.50,0.00,0.00
"4029","Channel Islands (5-200 m)","Island Shelves",34.03,-119.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"0","0",0,0.00,1.00,0.00,0.00,0.00,37.75,37.75,37.75,0.00,0.00
"4030","Small POTW Outfalls","Orange Shelf",33.51,-117.77,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"0","0",0,0.00,0.00,0.00,1.00,0.00,0.93,0.00,0.93,0.00,0.00
"4031","Channel Islands (5-200 m)","Island Shelves",34.05,-120.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"0","0",0,0.00,1.00,0.00,0.00,0.00,37.75,37.75,37.75,0.00,0.00
"4032","Estuaries","San Elijo Lagoon",33.00,-117.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"San Elijo Lagoon","0",0,0.00,0.00,0.00,0.00,0.00,0.33,0.33,0.00,0.00,0.00
"4033","Estuaries","San Diego River Estuary",32.75,-117.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"San Diego River Estuary","0",0,0.00,0.00,0.00,0.00,0.00,0.29,0.29,0.00,0.00,0.00
"4034","LA Estuaries","San Gabriel River Estuary",33.74,-118.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"0","San Gabriel River Estuary",0,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.00,0.00,0.00
"4035","Mid-shelf (30-120 m)","East Santa Barbara Channel",34.28,-119.50,0.00,0.00,0.00,1.00,0.00,0.00,0.00,"0","0",0,2.00,0.00,0.00,0.00,0.00,55.67,105.11,61.24,125.58,0.00
"4036","Mid-shelf (30-120 m)","South San Diego Shelf",32.79,-117.30,0.00,0.00,0.00,1.00,0.00,0.00,0.00,"0","0",0,4.00,0.00,0.00,0.00,0.00,55.67,105.11,61.24,125.58,0.00
"4037","Mid-shelf (30-120 m)","Santa Monica Bay",33.99,-118.70,0.00,0.00,0.00,1.00,0.00,0.00,0.00,"0","0",0,3.00,0.00,0.00,0.00,1.00,55.67,105.11,61.24,125.58,0.00
"4038","Large POTW Outfalls","Santa Monica Bay",33.76,-118.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"0","0",0,0.00,0.00,1.00,0.00,1.00,5.01,0.00,5.01,125.58,0.00
"4039","Upper slope (200-500 m)","West Santa Barbara Channel",34.28,-120.45,0.00,0.00,0.00,0.00,0.00,1.00,0.00,"0","0",0,0.00,0.00,0.00,0.00,0.00,105.43,105.43,105.43,0.00,0.00
"4040","Small POTW Outfalls","North San Diego Shelf",33.15,-117.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"0","0",0,0.00,0.00,0.00,1.00,0.00,0.93,0.00,0.93,125.58,0.00
"4041","Large POTW Outfalls","San Pedro Shelf",33.56,-117.98,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"0","0",0,0.00,0.00,1.00,0.00,0.00,5.01,0.00,5.01,0.00,0.00
"4042","Large POTW Outfalls","Palos Verdes Shelf",33.69,-118.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"0","0",0,0.00,0.00,1.00,0.00,1.00,5.01,0.00,5.01,125.58,0.00
"4043","Inner shelf (5-30 m)","East Santa Barbara Channel",34.28,-119.35,0.00,0.00,1.00,0.00,0.00,0.00,0.00,"0","0",0,0.00,0.00,0.00,0.00,0.00,39.44,105.11,38.13,125.58,0.00
"4044","Ports/Bays/Harbors","San Diego Bay",32.68,-117.23,1.00,0.00,0.00,0.00,0.00,0.00,0.00,"0","0",0,0.00,0.00,0.00,0.00,0.00,2.73,2.82,2.50,0.00,0.00
"4045","Large POTW Outfalls","Santa Monica Bay",33.93,-118.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"0","0",0,0.00,0.00,1.00,0.00,1.00,5.01,0.00,5.01,125.58,0.00
"4046","LA Estuaries","Los Angeles River Estuary",33.79,-118.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"0","Los Angeles River Estuary",0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"4047","Small POTW Outfalls","East Santa Barbara Channel",34.39,-119.66,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"0","0",0,0.00,0.00,0.00,1.00,0.00,0.93,0.00,0.93,125.58,0.00
"4048","Mid-shelf (30-120 m)","North San Diego Shelf",33.08,-117.35,0.00,0.00,0.00,1.00,0.00,0.00,0.00,"0","0",0,4.00,0.00,0.00,0.00,0.00,55.67,105.11,61.24,125.58,0.00
"4049","Estuaries","Agua Hedionda Lagoon",33.13,-117.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Agua Hedionda Lagoon","0",0,0.00,0.00,0.00,0.00,0.00,0.26,0.26,0.00,0.00,0.00
"4050","Ports/Bays/Harbors","Los Angeles Harbor",33.72,-118.26,1.00,0.00,0.00,0.00,0.00,0.00,0.00,"0","0",0,0.00,0.00,0.00,0.00,0.00,2.73,2.82,2.50,0.00,0.00
"4051","Channel Islands (5-200 m)","Island Shelves",34.07,-119.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"0","0",0,0.00,1.00,0.00,0.00,0.00,37.75,37.75,37.75,0.00,0.00
"4052","Marinas","San Diego Bay",32.62,-117.13,0.00,1.00,0.00,0.00,0.00,0.00,0.00,"0","0",0,0.00,0.00,0.00,0.00,0.00,0.49,0.49,2.50,0.00,0.00
"4053","LA Estuaries","Ballona Creek Estuary",33.97,-118.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"0","Ballona Creek Estuary",0,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.00,0.00
"4054","LA Estuaries","Los Alamitos Estuary",33.78,-118.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"0","Los Alamitos Estuary",0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"4055","Small POTW Outfalls","East Santa Barbara Channel",34.40,-119.81,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"0","0",0,0.00,0.00,0.00,1.00,0.00,0.93,0.00,0.93,125.58,0.00
"4056","Channel Islands (5-200 m)","Island Shelves",33.48,-119.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"0","0",0,0.00,1.00,0.00,0.00,0.00,37.75,37.75,37.75,0.00,0.00
"4057","Outer shelf (120-200 m)","Santa Monica Bay",33.97,-118.62,0.00,0.00,0.00,0.00,1.00,0.00,0.00,"0","0",0,0.00,0.00,0.00,0.00,1.00,20.43,105.11,15.59,125.58,0.00
"4058","Inner shelf (5-30 m)","San Pedro Shelf",33.64,-118.07,0.00,0.00,1.00,0.00,0.00,0.00,0.00,"0","0",0,0.00,0.00,0.00,0.00,0.00,39.44,105.11,38.13,0.00,0.00
"4059","Outer shelf (120-200 m)","West Santa Barbara Channel",34.38,-119.98,0.00,0.00,0.00,0.00,1.00,0.00,0.00,"0","0",0,0.00,0.00,0.00,0.00,0.00,20.43,105.11,15.59,0.00,0.00
"4060","Lower slope and basin (500-1000 m)","North San Diego Shelf",33.03,-117.66,0.00,0.00,0.00,0.00,0.00,0.00,1.00,"0","0",0,0.00,0.00,0.00,0.00,0.00,221.76,0.00,0.00,0.00,0.00
"4061","Inner shelf (5-30 m)","Hueneme to Dume",34.10,-119.15,0.00,0.00,1.00,0.00,0.00,0.00,0.00,"0","0",0,0.00,0.00,0.00,0.00,0.00,39.44,105.11,38.13,125.58,0.00
"4062","Small POTW Outfalls","North San Diego Shelf",33.43,-117.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"0","0",0,0.00,0.00,0.00,1.00,0.00,0.93,0.00,0.93,125.58,0.00
"4063","Channel Islands (5-200 m)","Island Shelves",33.94,-120.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"0","0",0,0.00,1.00,0.00,0.00,0.00,37.75,37.75,37.75,0.00,0.00
"4064","Small POTW Outfalls","North San Diego Shelf",33.00,-117.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"0","0",0,0.00,0.00,0.00,1.00,0.00,0.93,0.00,0.93,125.58,0.00
"4065","Marinas","Newport Bay",33.60,-117.90,0.00,1.00,0.00,0.00,0.00,0.00,0.00,"0","0",0,0.00,0.00,0.00,0.00,0.00,0.49,0.49,2.50,0.00,0.00
"4066","LA Estuaries","San Gabriel River Estuary",33.74,-118.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"0","San Gabriel River Estuary",0,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.00,0.00,0.00
"4067","Outer shelf (120-200 m)","East Santa Barbara Channel",34.23,-119.68,0.00,0.00,0.00,0.00,1.00,0.00,0.00,"0","0",0,0.00,0.00,0.00,0.00,0.00,20.43,105.11,15.59,0.00,0.00
"4068","Outer shelf (120-200 m)","South San Diego Shelf",32.58,-117.34,0.00,0.00,0.00,0.00,1.00,0.00,0.00,"0","0",0,0.00,0.00,0.00,0.00,0.00,20.43,105.11,15.59,125.58,0.00
"4069","Inner shelf (5-30 m)","Hueneme to Dume",34.03,-118.91,0.00,0.00,1.00,0.00,0.00,0.00,0.00,"0","0",0,0.00,0.00,0.00,0.00,1.00,39.44,105.11,38.13,0.00,0.00
"4070","Large POTW Outfalls","Santa Monica Bay",33.75,-118.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"0","0",0,0.00,0.00,1.00,0.00,1.00,5.01,0.00,5.01,125.58,0.00
"4071","Upper slope (200-500 m)","West Santa Barbara Channel",34.34,-120.36,0.00,0.00,0.00,0.00,0.00,1.00,0.00,"0","0",0,0.00,0.00,0.00,0.00,0.00,105.43,105.43,105.43,0.00,0.00
"4072","Estuaries","Santa Ana River Estuary",33.63,-117.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Santa Ana River Estuary","0",0,0.00,0.00,0.00,0.00,0.00,0.30,0.30,0.00,0.00,0.00
"4073","Large POTW Outfalls","San Pedro Shelf",33.59,-118.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"0","0",0,0.00,0.00,1.00,0.00,0.00,5.01,0.00,5.01,0.00,0.00
"4074","Lower slope and basin (500-1000 m)","San Pedro Shelf",33.57,-118.32,0.00,0.00,0.00,0.00,0.00,0.00,1.00,"0","0",0,0.00,0.00,0.00,0.00,0.00,221.76,0.00,0.00,0.00,0.00
"4075","Estuaries","Upper Newport Bay",33.64,-117.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Upper Newport Bay","0",0,0.00,0.00,0.00,0.00,0.00,0.25,0.25,0.00,0.00,0.00
"4076","Marinas","San Diego Bay",32.71,-117.23,0.00,1.00,0.00,0.00,0.00,0.00,0.00,"0","0",0,0.00,0.00,0.00,0.00,0.00,0.49,0.49,2.50,0.00,0.00
"4077","Large POTW Outfalls","Santa Monica Bay",33.92,-118.52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"0","0",0,0.00,0.00,1.00,0.00,1.00,5.01,0.00,5.01,0.00,0.00
"4078","LA Estuaries","Los Angeles River Estuary",33.78,-118.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"0","Los Angeles River Estuary",0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"4079","Mid-shelf (30-120 m)","East Santa Barbara Channel",34.38,-119.59,0.00,0.00,0.00,1.00,0.00,0.00,0.00,"0","0",0,2.00,0.00,0.00,0.00,0.00,55.67,105.11,61.24,0.00,0.00
"4080","Mid-shelf (30-120 m)","North San Diego Shelf",33.26,-117.53,0.00,0.00,0.00,1.00,0.00,0.00,0.00,"0","0",0,4.00,0.00,0.00,0.00,0.00,55.67,105.11,61.24,0.00,0.00
"4081","Estuaries","Mugu Lagoon",34.10,-119.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Mugu Lagoon","0",0,0.00,0.00,0.00,0.00,0.00,0.36,0.36,0.00,0.00,0.00
"4082","LA Estuaries","Los Angeles River Estuary",33.77,-118.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"0","Los Angeles River Estuary",0,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.00,0.00
"4083","Upper slope (200-500 m)","East Santa Barbara Channel",34.11,-119.62,0.00,0.00,0.00,0.00,0.00,1.00,0.00,"0","0",0,0.00,0.00,0.00,0.00,0.00,105.43,105.43,105.43,0.00,0.00
"4084","Ports/Bays/Harbors","San Diego Bay",32.66,-117.12,1.00,0.00,0.00,0.00,0.00,0.00,0.00,"0","0",0,0.00,0.00,0.00,0.00,0.00,2.73,2.82,2.50,0.00,0.00
"4085","Marinas","Marina del Rey",33.96,-118.45,0.00,1.00,0.00,0.00,0.00,0.00,0.00,"0","0",0,0.00,0.00,0.00,0.00,0.00,0.49,0.49,0.00,0.00,0.00
"4086","Mid-shelf (30-120 m)","Santa Monica Bay",33.83,-118.46,0.00,0.00,0.00,1.00,0.00,0.00,0.00,"0","0",0,3.00,0.00,0.00,0.00,1.00,55.67,105.11,61.24,125.58,0.00
"4087","Estuaries","Agua Hedionda Lagoon",33.13,-117.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Agua Hedionda Lagoon","0",0,0.00,0.00,0.00,0.00,0.00,0.26,0.26,0.00,0.00,0.00
"4088","Upper slope (200-500 m)","North San Diego Shelf",33.09,-117.41,0.00,0.00,0.00,0.00,0.00,1.00,0.00,"0","0",0,0.00,0.00,0.00,0.00,0.00,105.43,105.43,105.43,0.00,0.00
"4089","Mid-shelf (30-120 m)","Santa Monica Bay",33.84,-118.56,0.00,0.00,0.00,1.00,0.00,0.00,0.00,"0","0",0,3.00,0.00,0.00,0.00,1.00,55.67,105.11,61.24,0.00,0.00
"4090","Inner shelf (5-30 m)","San Pedro Shelf",33.65,-118.13,0.00,0.00,1.00,0.00,0.00,0.00,0.00,"0","0",0,0.00,0.00,0.00,0.00,0.00,39.44,105.11,38.13,0.00,0.00
"4091","Upper slope (200-500 m)","West Santa Barbara Channel",34.14,-120.17,0.00,0.00,0.00,0.00,0.00,1.00,0.00,"0","0",0,0.00,0.00,0.00,0.00,0.00,105.43,105.43,105.43,0.00,0.00
"4092","Ports/Bays/Harbors","San Diego Bay",32.72,-117.18,1.00,0.00,0.00,0.00,0.00,0.00,0.00,"0","0",0,0.00,0.00,0.00,0.00,0.00,2.73,2.82,2.50,0.00,0.00
"4093","Outer shelf (120-200 m)","Hueneme to Dume",34.06,-119.13,0.00,0.00,0.00,0.00,1.00,0.00,0.00,"0","0",0,0.00,0.00,0.00,0.00,0.00,20.43,105.11,15.59,0.00,0.00
"4094","Small POTW Outfalls","North San Diego Shelf",33.43,-117.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"0","0",0,0.00,0.00,0.00,1.00,0.00,0.93,0.00,0.93,0.00,0.00
"4096","Mid-shelf (30-120 m)","North San Diego Shelf",33.26,-117.56,0.00,0.00,0.00,1.00,0.00,0.00,0.00,"0","0",0,4.00,0.00,0.00,0.00,0.00,55.67,105.11,61.24,0.00,0.00
"4097","Marinas","Newport Bay",33.61,-117.90,0.00,1.00,0.00,0.00,0.00,0.00,0.00,"0","0",0,0.00,0.00,0.00,0.00,0.00,0.49,0.49,2.50,0.00,0.00
"4098","Ports/Bays/Harbors","Long Beach Harbor",33.74,-118.16,1.00,0.00,1.00,0.00,0.00,0.00,0.00,"0","0",0,0.00,0.00,0.00,0.00,0.00,2.73,2.82,2.50,0.00,0.00
"4099","Mid-shelf (30-120 m)","East Santa Barbara Channel",34.30,-119.55,0.00,0.00,0.00,1.00,0.00,0.00,0.00,"0","0",0,2.00,0.00,0.00,0.00,0.00,55.67,105.11,61.24,0.00,0.00
"4100","Lower slope and basin (500-1000 m)","North San Diego Shelf",32.93,-117.39,0.00,0.00,0.00,0.00,0.00,0.00,1.00,"0","0",0,0.00,0.00,0.00,0.00,0.00,221.76,0.00,0.00,0.00,0.00
"4101","Mid-shelf (30-120 m)","Santa Monica Bay",33.99,-118.55,0.00,0.00,0.00,1.00,0.00,0.00,0.00,"0","0",0,3.00,0.00,0.00,0.00,1.00,55.67,105.11,61.24,0.00,0.00
"4102","Large POTW Outfalls","Palos Verdes Shelf",33.72,-118.36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"0","0",0,0.00,0.00,1.00,0.00,1.00,5.01,0.00,5.01,0.00,0.00
"4103","Outer shelf (120-200 m)","East Santa Barbara Channel",34.23,-119.70,0.00,0.00,0.00,0.00,1.00,0.00,0.00,"0","0",0,0.00,0.00,0.00,0.00,0.00,20.43,105.11,15.59,0.00,0.00
"4104","Estuaries","Upper Newport Bay",33.63,-117.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Upper Newport Bay","0",0,0.00,0.00,0.00,0.00,0.00,0.25,0.25,0.00,0.00,0.00
"4105","Lower slope and basin (500-1000 m)","North San Diego Shelf",33.31,-117.91,0.00,0.00,0.00,0.00,0.00,0.00,1.00,"0","0",0,0.00,0.00,0.00,0.00,0.00,221.76,0.00,0.00,0.00,0.00
"4106","Lower slope and basin (500-1000 m)","San Pedro Shelf",33.63,-118.30,0.00,0.00,0.00,0.00,0.00,0.00,1.00,"0","0",0,0.00,0.00,0.00,0.00,0.00,221.76,0.00,0.00,0.00,0.00
"4107","Channel Islands (5-200 m)","Island Shelves",34.05,-120.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"0","0",0,0.00,1.00,0.00,0.00,0.00,37.75,37.75,37.75,0.00,0.00
"4108","Ports/Bays/Harbors","San Diego Bay",32.71,-117.17,1.00,0.00,0.00,0.00,0.00,0.00,0.00,"0","0",0,0.00,0.00,0.00,0.00,0.00,2.73,2.82,2.50,0.00,0.00
"4109","Large POTW Outfalls","Santa Monica Bay",33.95,-118.51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"0","0",0,0.00,0.00,1.00,0.00,1.00,5.01,0.00,5.01,0.00,0.00
"4110","Outer shelf (120-200 m)","Orange Shelf",33.46,-117.76,0.00,0.00,0.00,0.00,1.00,0.00,0.00,"0","0",0,0.00,0.00,0.00,0.00,0.00,20.43,0.00,15.59,0.00,0.00
"4111","Outer shelf (120-200 m)","West Santa Barbara Channel",34.39,-120.33,0.00,0.00,0.00,0.00,1.00,0.00,0.00,"0","0",0,0.00,0.00,0.00,0.00,0.00,20.43,0.00,15.59,0.00,0.00
"4112","Estuaries","Upper Newport Bay",33.64,-117.87,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Upper Newport Bay","0",0,0.00,0.00,0.00,0.00,0.00,0.25,0.25,0.00,0.00,0.00
"4113","Mid-shelf (30-120 m)","San Pedro Shelf",33.59,-117.97,0.00,0.00,0.00,1.00,0.00,0.00,0.00,"0","0",0,4.00,0.00,0.00,0.00,0.00,55.67,0.00,61.24,0.00,0.00
"4114","Ports/Bays/Harbors","Los Angeles Harbor",33.70,-118.26,1.00,0.00,0.00,0.00,0.00,0.00,0.00,"0","0",0,0.00,0.00,0.00,0.00,0.00,2.73,2.82,0.00,0.00,0.00
"4115","Channel Islands (5-200 m)","Island Shelves",34.07,-119.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"0","0",0,0.00,1.00,0.00,0.00,0.00,37.75,37.75,37.75,0.00,0.00
"4116","Ports/Bays/Harbors","San Diego Bay",32.65,-117.14,1.00,0.00,0.00,0.00,0.00,0.00,0.00,"0","0",0,0.00,0.00,0.00,0.00,0.00,2.73,2.82,2.50,0.00,0.00
"4117","Marinas","Marina del Rey",33.98,-118.44,0.00,1.00,0.00,0.00,0.00,0.00,0.00,"0","0",0,0.00,0.00,0.00,0.00,0.00,0.49,0.49,2.50,0.00,0.00
"4118","LA Estuaries","Los Alamitos Estuary",33.76,-118.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"0","Los Alamitos Estuary",0,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.00,0.00,0.00
"4119","Inner shelf (5-30 m)","East Santa Barbara Channel",34.39,-119.84,0.00,0.00,1.00,0.00,0.00,0.00,0.00,"0","0",0,0.00,0.00,0.00,0.00,0.00,39.44,0.00,38.13,0.00,0.00
"4120","Large POTW Outfalls","South San Diego Shelf",32.65,-117.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"0","0",0,0.00,0.00,1.00,0.00,0.00,5.01,0.00,5.01,0.00,0.00
