"StationID","SampleDate","ArrivalTime","ArrivalTimeUnits","SamplingOrganization","SampleType","Vessel","NavType","Salinity","WeatherCode","WindSpeed","WindSpeedUnits","WindDirection","SwellHeight","SwellHeightUnits","SwellPeriod","SwellDirection","SeaState","StationFailCode","Abandoned","Comments"
"4004",7/25/2003 0:00:00,"0800","PDT","CSD","Trawl","Monitor III","DGPS",,"Overcast",2,"KTS","SE",1,"FT",7,"W","Calm","None",0,"Stn Depth: 145 m"
"4005",7/21/2003 0:00:00,"0432","PDT","CINMS","Grab","McArthur II","DGPS",,"Overcast",10,"KTS","W",3,"FT",4,"W","Calm","None",0,"in water 4:34; at bottom 17 min; at surface 5:15; total 41 min; lots of clay"
"4006",7/21/2003 0:00:00,"0925","PDT","CLAEMD","Grab","La Mer","DGPS",-99.00,"Overcast",4,"KTS","SW",2,"FT",10,"SW","Calm","None",0,"Using GPS for Distance to target due to conflict between CLA WQ and B '03 Stn coordinates"
"4006",8/11/2003 0:00:00,"0728","PDT","VRG","Trawl","Vantuna","GPS",-99.00,"Partly Cloudy",5,"KTS","NE",2,"FT",8,"W","Calm","None",0,
"4006",8/25/2003 0:00:00,"0900","PDT","CLAEMD","Grab","La Mer","DGPS",-99.00,"Fog",6,"KTS","SW",3,"FT",10,"W","Calm","None",0,
"4007",8/4/2003 0:00:00,"1617","PDT","ABC","Trawl","Yellowfin","DGPS",,"Partly Cloudy",15,"KTS","SW",3,"FT",10,"W","Choppy","None",0,
"4007",8/24/2003 0:00:00,"1003","PST","MBC","Grab","Alguita","DGPS",,"Fog",5,"KTS","SE",1,"M",4,"W","Calm","None",0,
"4008",7/28/2003 0:00:00,"1059","PDT","MEC","Grab","MEC Avon","DGPS",32.63,"Partly Cloudy",4,"KTS","W",0,"FT",0,"XX","Calm","None",0,"Original site coordinates <0.5m depth, offset to deeper water"
"4009",7/20/2003 0:00:00,"1750","PDT","CINMS","Grab","McArthur II","DGPS",,"Clear",9,"KTS","W",2,"FT",3,"W","Calm","None",0,"in water 17:51; at bottom 12 min; at surface 6:21; total 30 min"
"4010",7/14/2003 0:00:00,"1107","PDT","CLAEMD","Grab","Marine Surveyor","DGPS",-99.00,"Clear",4,"KTS","SE",0,"FT",0,"XX","Calm","Q",0,
"4010",7/25/2003 0:00:00,"0905","PDT","VRG","Trawl","Vantuna","GPS",-99.00,"Overcast",3,"KTS","SW",0,"FT",0,"XX","Calm","N",1,"Station is under a marina, we couldn't get within 420 m of the site."
"4010",8/6/2003 0:00:00,"0919","PDT","CLAEMD","Grab","Marine Surveyor","DGPS",-99.00,"Partly Cloudy",4,"KTS","S",0,"FT",0,"XX","Calm","None",0,
"4011",7/22/2003 0:00:00,"1718","PDT","CINMS","Grab","McArthur II","DGPS",,"Partly Cloudy",6,"KTS","W",2,"FT",3,"SW","Calm","S",1,"in water 17:19; at bottom 1 min; at surface 17:21; total 2 min; hard bottom covered w/ coarse sand and coralin algae"
"4011",7/22/2003 0:00:00,"1718","PDT","CINMS","Trawl","McArthur II","DGPS",,"Partly Cloudy",6,"KTS","W",2,"FT",3,"SW","Calm","S",1,"Rocky Bottom"
"4012",7/22/2003 0:00:00,"1138","PDT","CSD","Grab","Metro","DGPS",,"Fog",3,"KTS","NW",3,"FT",12,"NW","Calm","None",0,
"4012",7/25/2003 0:00:00,"0936","PDT","CSD","Trawl","Monitor III","DGPS",,"Overcast",5,"KTS","SW",1,"FT",7,"W","Calm","None",0,"Lotek time: 12 min"
"4013",9/16/2003 0:00:00,"1100","PDT","ABC","Grab","NR","DGPS",,"NR",-99,"NR","NR",-99,"NR",-99,"NR","NR","Other",1,"No Access"
"4014",7/30/2003 0:00:00,"0945","PST","MBC","Grab","Portunus","DGPS",,"Thunderstorm",0,"KTS","XX",0,"M",0,"XX","Calm","C",1,"Rocks & hard clay prevented jaw from closing correctly."
"4015",7/24/2003 0:00:00,"1610","PDT","ABC","Grab","Hey Jude","DGPS",,"Overcast",10,"KTS","SW",4,"FT",12,"SW","Calm","None",0,
"4015",7/24/2003 0:00:00,"1642","PDT","ABC","Trawl","Hey Jude","DGPS",,"Partly Cloudy",12,"KTS","SW",5,"FT",12,"SW","Calm","None",0,"Station to be resampled, net did not reach bottom."
"4016",8/8/2003 0:00:00,"2300","PDT","MEC","Grab","JB","DGPS",,"NR",-99,"KTS","NR",-99,"FT",-99,"NR","NR","Other",1,"Permission not granted by Camp Pendleton to sample in harbor"
"4016",8/8/2003 0:00:00,"2300","PDT","MEC","Trawl","Zephyr","DGPS",,"NR",-99,"KTS","NR",-99,"FT",-99,"NR","NR","Other",1,"Permission not granted by Camp Pendleton to trawl in harbor because of underwater cables"
"4017",8/19/2003 0:00:00,"0925","PDT","MEC","Grab","MEC Avon","DGPS",25.19,"Overcast",1,"KTS","SW",0,"FT",0,"XX","Calm","None",0,
"4018",7/25/2003 0:00:00,"1145","PDT","VRG","Trawl","Vantuna","GPS",-99.00,"Clear",10,"KTS","SW",0,"FT",0,"XX","Calm","N",1,"Cannot get within 100 m of site it is located under the docks in Alamitos Bay"
"4018",8/8/2003 0:00:00,"0815","PDT","MEC","Grab","JB","DGPS",,"Clear",3,"KTS","S",0,"FT",0,"XX","Calm","None",0,
"4019",8/18/2003 0:00:00,"1410","PDT","ABC","Grab","Yellowfin","DGPS",,"Clear",6,"KTS","SW",3,"FT",8,"SW","Calm","None",0,
"4019",8/18/2003 0:00:00,"1444","PDT","ABC","Trawl","Yellowfin","DGPS",,"Clear",8,"KTS","SW",3,"FT",9,"SW","Calm","None",0,
"4020",7/25/2003 0:00:00,"1245","PDT","CSD","Grab","Metro","DGPS",,"Overcast",0,"KTS","XX",0,"FT",0,"XX","Calm","None",0,"Mission Bay - Mission Bay drive bridge. Under bridge. Sunset point."
"4020",7/25/2003 0:00:00,"1256","PDT","CSD","Trawl","Monitor III","DGPS",,"Partly Cloudy",0,"KTS","XX",0,"FT",0,"XX","Calm","Other",1,"Depth along trawl track >10%"
"4021",7/21/2003 0:00:00,"0812","PDT","CLAEMD","Grab","La Mer","DGPS",-99.00,"Overcast",2,"KTS","SW",2,"FT",12,"SW","Calm","None",0,
"4021",8/11/2003 0:00:00,"1025","PDT","VRG","Trawl","Vantuna","GPS",-99.00,"Partly Cloudy",5,"KTS","NE",2,"FT",8,"W","Calm","None",0,"Net torn slightly on wing but catch kept"
"4021",8/25/2003 0:00:00,"1257","PDT","CLAEMD","Grab","La Mer","DGPS",-99.00,"Fog",6,"KTS","W",2,"FT",10,"SW","Calm","None",0,
"4022",7/21/2003 0:00:00,"1221","PDT","CLAEMD","Grab","La Mer","DGPS",-99.00,"Overcast",3,"KTS","SW",2,"FT",10,"SW","Choppy","None",0,
"4022",8/11/2003 0:00:00,"1337","PDT","VRG","Trawl","Vantuna","GPS",-99.00,"Partly Cloudy",5,"KTS","NE",2,"FT",8,"W","Calm","S",1,"Too rocky to trawl"
"4022",8/25/2003 0:00:00,"1055","PDT","CLAEMD","Grab","La Mer","DGPS",-99.00,"Fog",7,"KTS","W",2,"FT",10,"SW","Calm","None",0,
"4023",8/24/2003 0:00:00,"1444","PST","MBC","Grab","Alguita","DGPS",,"Clear",0,"KTS","W",1,"M",3,"W","Rough","None",0,
"4023",8/27/2003 0:00:00,"1145","PST","MBC","Trawl","Alguita","DGPS",,"Clear",0,"KTS","W",1,"M",3,"W","Choppy","S",1,"Three fathometer runs each showed rocky bottom."
"4024",8/5/2003 0:00:00,"1414","PDT","MEC","Grab","JB","DGPS",,"Clear",4,"KTS","W",2,"FT",14,"SW","Calm","None",0,
"4024",8/8/2003 0:00:00,"1101","PDT","MEC","Trawl","Zephyr","DGPS",,"Overcast",-99,"KTS","NR",-99,"FT",-99,"NR","Calm","None",1,"site was abandoned because near canyon.  The boat bathymetery was up and down."
"4025",7/19/2003 0:00:00,"0457","PDT","CINMS","Grab","McArthur II","DGPS",,"Overcast",7,"KTS","NW",3,"FT",3,"N","Calm","None",0,"in water 4:58; total 24 min; temp 43.3 F"
"4026",8/19/2003 0:00:00,"1256","PDT","LACSD","Grab","Ocean Sentinel","DGPS",-99.00,"Clear",4,"KTS","SE",1,"FT",6,"W","Calm","None",0,
"4026",8/27/2003 0:00:00,"0830","PDT","LACSD","Trawl","Ocean Sentinel","DGPS",-99.00,"Haze",2,"KTS","E",1,"FT",7,"W","Calm","None",0,
"4027",8/7/2003 0:00:00,"1218","PDT","CINMS","Trawl","Shearwater","DGPS",,"Clear",3,"KTS","NW",3,"FT",3,"S","Choppy","None",0,
"4027",8/15/2003 0:00:00,"0759","PDT","CINMS","Grab","Shearwater","DGPS",,"Clear",12,"KTS","W",3,"FT",12,"W","Choppy","None",0,
"4028",7/16/2003 0:00:00,"1003","PDT","CSD","Grab","Metro","DGPS",,"Fog",3,"KTS","S",0,"FT",0,"XX","Calm","None",0,"Depth is highly variable around station location."
"4028",7/17/2003 0:00:00,"1055","PDT","CSD","Trawl","Monitor III","DGPS",,"Overcast",7,"KTS","E",0,"FT",0,"XX","Calm","None",0,"Absolutely HUGE amount of red and brown filamentous algae. 4 tubs plus more sorted directly from net."
"4029",7/21/2003 0:00:00,"1001","PDT","CINMS","Grab","McArthur II","DGPS",,"Overcast",10,"KTS","W",4,"FT",-99,"W","Choppy","None",0,"in water 10:02; at bottom 2 min; at surface 10:06: total 4 min; shallow water; hit bottom at 84 m"
"4029",8/8/2003 0:00:00,"1020","PDT","CINMS","Trawl","Shearwater","DGPS",,"Clear",12,"KTS","NW",3,"FT",3,"E","Choppy","None",0,
"4030",7/24/2003 0:00:00,"0750","PDT","OCSD","Grab","Enchanter IV","DGPS",-99.00,"Overcast",2,"KTS","E",1,"FT",4,"SW","Calm","None",0,"This was hand-entered from hardcopy of field sheet 7/31/2003"
"4030",8/25/2003 0:00:00,"0706","PDT","OCSD","Trawl","Yellowfin","GPS",-99.00,"Haze",6,"KTS","SW",2,"FT",10,"SW","Calm","None",0,
"4031",8/20/2003 0:00:00,"0800","PDT","CINMS","Grab","Shearwater","DGPS",,"Fog",5,"KTS","NW",3,"FT",10,"NW","Calm","N",1,"Too cloe to shore/rocks to sample"
"4031",8/20/2003 0:00:00,"0800","PDT","CINMS","Trawl","Shearwater","DGPS",,"Fog",5,"KTS","NW",3,"FT",10,"NW","Calm","N ",1,"Too close to shore/rocks to sample"
"4032",7/25/2003 0:00:00,"1656","PDT","MEC","Grab","MEC Avon","DGPS",24.16,"Partly Cloudy",0,"KTS","XX",0,"FT",0,"XX","Calm","None",0,
"4033",7/25/2003 0:00:00,"0756","PDT","MEC","Grab","MEC Avon","DGPS",28.96,"Overcast",3,"KTS","E",0,"FT",0,"XX","Calm","None",0,
"4034",8/20/2003 0:00:00,"0810","PST","MBC","Grab","Portunus","DGPS",33.00,"Partly Cloudy",0,"KTS","XX",0,"M",0,"XX","Calm","None",0,"Station on land."
"4035",8/18/2003 0:00:00,"1155","PDT","ABC","Grab","Yellowfin","DGPS",,"Clear",3,"KTS","SW",4,"FT",8,"SW","Calm","None",0,
"4035",8/18/2003 0:00:00,"1225","PDT","ABC","Trawl","Yellowfin","DGPS",,"Clear",4,"KTS","SW",4,"FT",8,"SW","Calm","None",0,
"4036",7/23/2003 0:00:00,"1108","PDT","CSD","Grab","Metro","DGPS",,"Partly Cloudy",8,"KTS","S",1,"FT",14,"SW","Calm","None",0,
"4036",7/25/2003 0:00:00,"1119","PDT","CSD","Trawl","Monitor III","DGPS",,"Partly Cloudy",8,"KTS","SW",1,"FT",7,"W","Calm","None",0,"Lotek time: 14 min"
"4037",7/23/2003 0:00:00,"1046","PDT","CLAEMD","Grab","La Mer","DGPS",-99.00,"Overcast",0,"KTS","XX",3,"FT",10,"SW","Calm","None",0,
"4037",8/4/2003 0:00:00,"0910","PDT","CLAEMD","Grab","La Mer","DGPS",-99.00,"Clear",6,"KTS","SW",2,"FT",10,"SW","Calm","None",0,
"4037",8/13/2003 0:00:00,"0828","PDT","CLAEMD","Trawl","La Mer","DGPS",-99.00,"Partly Cloudy",2,"KTS","SW",2,"FT",8,"SW","Calm","None",0,
"4038",8/20/2003 0:00:00,"1359","PDT","LACSD","Grab","Ocean Sentinel","DGPS",-99.00,"Overcast",5,"KTS","SW",1,"FT",6,"W","Calm","None",0,
"4038",8/27/2003 0:00:00,"1319","PDT","LACSD","Trawl","Ocean Sentinel","DGPS",-99.00,"Haze",6,"KTS","W",1,"FT",7,"W","Calm","None",0,
"4039",8/3/2003 0:00:00,"1654","PDT","ABC","Trawl","Yellowfin","DGPS",,"Clear",18,"KTS","NW",3,"FT",8,"W","Rough","None",0,
"4039",8/23/2003 0:00:00,"1041","PST","MBC","Grab","Alguita","DGPS",,"Clear",9,"KTS","W",1,"M",3,"W","Choppy","None",0,
"4040",8/6/2003 0:00:00,"1048","PDT","MEC","Grab","JB","DGPS",,"Partly Cloudy",3,"KTS","SW",3,"FT",14,"SW","Calm","None",0,
"4040",8/8/2003 0:00:00,"0640","PDT","MEC","Trawl","Zephyr","DGPS",,"Partly Cloudy",1,"KTS","NE",2,"FT",12,"SW","Calm","None",0,
"4041",7/29/2003 0:00:00,"0809","PDT","OCSD","Grab","Enchanter IV","DGPS",-99.00,"Clear",3,"KTS","SE",1,"FT",10,"SW","Calm","None",0,
"4041",8/26/2003 0:00:00,"0656","PDT","OCSD","Trawl","Yellowfin","GPS",-99.00,"Haze",0,"KTS","XX",2,"FT",10,"SW","Calm","None",0,
"4041",8/28/2003 0:00:00,"1221","PDT","OCSD","Trawl","Yellowfin","GPS",-99.00,"Clear",5,"KTS","W",2,"FT",10,"SW","Calm","None",0,
"4042",8/19/2003 0:00:00,"1444","PDT","LACSD","Grab","Ocean Sentinel","DGPS",-99.00,"Clear",2,"KTS","S",1,"FT",6,"W","Calm","None",0,
"4042",8/27/2003 0:00:00,"0957","PDT","LACSD","Trawl","Ocean Sentinel","DGPS",-99.00,"Haze",6,"KTS","W",1,"FT",7,"W","Calm","None",0,
"4043",7/23/2003 0:00:00,"1307","PDT","ABC","Grab","Hey Jude","DGPS",,"Overcast",3,"KTS","SW",2,"FT",10,"SW","Calm","None",0,
"4043",7/23/2003 0:00:00,"1324","PDT","ABC","Trawl","Hey Jude","DGPS",,"Overcast",3,"KTS","SW",2,"FT",10,"SW","Calm","None",0,
"4044",7/18/2003 0:00:00,"1305","PDT","CSD","Grab","Metro","DGPS",,"Fog",10,"KTS","S",0,"FT",0,"XX","Calm","Other",1,"Inside sub base can't access"
"4044",7/18/2003 0:00:00,"1305","PDT","CSD","Trawl","Metro","DGPS",,"Fog",11,"KTS","S",0,"FT",0,"XX","Calm","N",1,"Inside sub base, Can't access"
"4045",7/22/2003 0:00:00,"1139","PDT","CLAEMD","Grab","La Mer","DGPS",-99.00,"Clear",4,"KTS","W",2,"FT",10,"SW","Calm","None",0,
"4045",8/4/2003 0:00:00,"1123","PDT","CLAEMD","Grab","La Mer","DGPS",-99.00,"Clear",8,"KTS","SW",2,"FT",8,"SW","Calm","None",0,
"4045",8/13/2003 0:00:00,"1238","PDT","CLAEMD","Trawl","La Mer","DGPS",-99.00,"Clear",12,"KTS","W",2,"FT",8,"SW","Calm","None",0,
"4046",7/29/2003 0:00:00,"1411","PST","MBC","Grab","None","DGPS",2.00,"Clear",0,"KTS","XX",0,"M",0,"XX","Calm","Other",1,"Salinity < 19 PSU.  Equipment type used - YSI"
"4047",7/24/2003 0:00:00,"1315","PDT","ABC","Grab","Hey Jude","DGPS",,"Overcast",5,"KTS","SW",4,"FT",12,"SW","Calm","None",0,
"4047",7/24/2003 0:00:00,"1329","PDT","ABC","Trawl","Hey Jude","DGPS",,"Overcast",6,"KTS","SW",4,"FT",10,"SW","Calm","None",0,
"4048",8/5/2003 0:00:00,"1232","PDT","MEC","Grab","JB","DGPS",,"Clear",3,"KTS","W",2,"FT",14,"SW","Calm","None",0,
"4048",8/8/2003 0:00:00,"1003","PDT","MEC","Trawl","Zephyr","DGPS",,"Clear",5,"KTS","W",3,"FT",11,"W","Calm","None",0,
"4049",7/21/2003 0:00:00,"1340","PDT","MEC","Grab","MEC Avon","DGPS",33.24,"Overcast",4,"KTS","SW",0,"FT",0,"XX","Calm","None",0,
"4050",7/15/2003 0:00:00,"0822","PDT","CLAEMD","Grab","Marine Surveyor","DGPS",-99.00,"Clear",5,"KTS","SW",0,"FT",0,"XX","Calm","None",0,
"4050",8/6/2003 0:00:00,"1102","PDT","CLAEMD","Grab","Marine Surveyor","DGPS",-99.00,"Partly Cloudy",6,"KTS","S",0,"FT",0,"XX","Calm","None",0,
"4050",8/20/2003 0:00:00,"1013","PDT","CLAEMD","Trawl","Marine Surveyor","DGPS",-99.00,"Clear",2,"KTS","SW",0,"FT",0,"XX","Calm","None",0,"one glass bottle"
"4051",7/21/2003 0:00:00,"1800","PDT","CINMS","Grab","McArthur II","DGPS",,"Partly Cloudy",15,"KTS","W",4,"FT",3,"W","Choppy","None",0,"in water 18:00; at bottom 2 min; at surface 18:05; total 5 min; did not trip; grab 5 lacked information - data from grab 4 used; see hard copy"
"4051",8/6/2003 0:00:00,"1130","PDT","CINMS","Trawl","Shearwater","DGPS",,"Clear",15,"KTS","W",3,"FT",-99,"W","Choppy","None",0,"Trawl caught in rudder on retrieval, net recovered with no apparent damage"
"4052",7/16/2003 0:00:00,"1243","PDT","CSD","Grab","Metro","DGPS",,"Overcast",3,"KTS","W",0,"FT",0,"XX","Calm","None",0,
"4052",7/16/2003 0:00:00,"1243","PDT","CSD","Trawl","Metro","DGPS",,"Overcast",3,"KTS","W",0,"FT",0,"XX","Calm","N",1,"Station located on land in Marina. Can sample benthics within 100 m, however, marina channel is to narrow to safely trawl."
"4053",9/16/2003 0:00:00,"0827","PDT","ABC","Grab","NR","DGPS",19.00,"Clear",3,"KTS","SW",0,"FT",0,"XX","Calm","None",0,
"4054",8/4/2003 0:00:00,"0826","PST","MBC","Grab","Portunus","DGPS",,"Clear",3,"KTS","E",0,"M",0,"XX","Calm","S",1,"Penetration could not be obtained."
"4055",7/29/2003 0:00:00,"0857","PDT","ABC","Grab","Hey Jude","DGPS",,"Overcast",2,"KTS","SW",4,"FT",9,"W","Calm","None",0,
"4055",7/29/2003 0:00:00,"0910","PDT","ABC","Trawl","Hey Jude","DGPS",,"Overcast",2,"KTS","SW",4,"FT",9,"W","Calm","None",0,
"4056",8/19/2003 0:00:00,"1318","PDT","CINMS","Grab","Shearwater","DGPS",,"Overcast",5,"KTS","NW",3,"FT",10,"NW","Calm","N",1,"Station was located immediately adjacent to Santa Barbara Island; too close to trawl safely; bottom rocky throughout vicinity"
"4056",8/19/2003 0:00:00,"1318","PDT","CINMS","Trawl","Shearwater","DGPS",,"Overcast",5,"KTS","NW",3,"FT",10,"NW","Calm","N ",1,"Station was located immediately adjacent to Santa Barbara Island; too close to trawl safely; bottom rocky throughout vicinity"
"4057",7/23/2003 0:00:00,"1205","PDT","CLAEMD","Grab","La Mer","DGPS",-99.00,"Clear",5,"KTS","E",2,"FT",10,"SW","Calm","None",0,
"4057",8/4/2003 0:00:00,"1005","PDT","CLAEMD","Grab","La Mer","DGPS",-99.00,"Clear",10,"KTS","SW",2,"FT",10,"SW","Calm","None",0,
"4057",8/13/2003 0:00:00,"1052","PDT","CLAEMD","Trawl","La Mer","DGPS",-99.00,"Partly Cloudy",6,"KTS","SW",2,"FT",8,"SW","Calm","None",0,
"4058",7/23/2003 0:00:00,"1310","PDT","OCSD","Grab","Enchanter IV","DGPS",-99.00,"Clear",7,"KTS","W",1,"FT",10,"SW","Calm","None",0,"This was hand-entered from hardcopy of field sheet 7/31/2003"
"4058",8/26/2003 0:00:00,"1145","PDT","OCSD","Trawl","Yellowfin","GPS",-99.00,"Clear",7,"KTS","W",2,"FT",10,"SW","Calm","None",0,
"4059",8/22/2003 0:00:00,"0756","PST","MBC","Grab","Alguita","DGPS",,"Overcast",0,"KTS","XX",0,"M",4,"SW","Calm","None",0,
"4059",8/27/2003 0:00:00,"0908","PST","MBC","Trawl","Alguita","DGPS",,"Clear",1,"KTS","W",0,"M",4,"W","Calm","H",1,"Torn net due to obstructions on ocean floor."
"4060",7/19/2003 0:00:00,"2325","PDT","CINMS","Grab","McArthur II","DGPS",,"Overcast",4,"KTS","NW",1,"FT",2,"W","Calm","None",0,"in water 23:26; at bottom 18 min; at surface 0:08; total 42 min; temp: 50 degrees F"
"4061",7/22/2003 0:00:00,"1021","PDT","ABC","Grab","Hey Jude","DGPS",,"Overcast",6,"KTS","SW",3,"FT",10,"SW","Confused","None",0,
"4061",7/22/2003 0:00:00,"1106","PDT","ABC","Trawl","Hey Jude","DGPS",,"Overcast",6,"KTS","SW",4,"FT",10,"SW","Confused","None",0,
"4062",8/13/2003 0:00:00,"0933","PDT","MEC","Trawl","Zephyr","DGPS",,"Partly Cloudy",3,"KTS","NW",2,"FT",14,"NW","Choppy","None",0,
"4062",9/3/2003 0:00:00,"1118","PDT","SV","Grab","Early Bird","DGPS",,"Clear",12,"KTS","W",3,"FT",6,"W","Rough","None",0,
"4063",8/13/2003 0:00:00,"0948","PDT","CINMS","Grab","Shearwater","DGPS",,"Partly Cloudy",20,"KTS","NW",3,"FT",5,"NW","Choppy","S",1,"Pre-trawl survey indicated bottom was rocky"
"4063",8/13/2003 0:00:00,"0948","PDT","CINMS","Trawl","Shearwater","DGPS",,"Partly Cloudy",20,"KTS","NW",3,"FT",5,"NW","Choppy","S",1,"Pre-trawl survey indicated bottom was un-trawlable"
"4064",8/4/2003 0:00:00,"0854","PDT","MEC","Grab","JB","DGPS",,"Overcast",2,"KTS","NW",2,"FT",12,"SW","Calm","None",0,
"4064",8/8/2003 0:00:00,"1405","PDT","MEC","Trawl","Zephyr","DGPS",,"Clear",5,"KTS","W",2,"FT",8,"SW","Calm","None",0,
"4065",8/19/2003 0:00:00,"0722","PDT","OCSD","Trawl","Enchanter IV","DGPS",-99.00,"Overcast",8,"KTS","SE",0,"FT",0,"XX","Calm","None",0,
"4065",9/2/2003 0:00:00,"1059","PDT","OCSD","Grab","Enchanter IV","DGPS",-99.00,"Overcast",5,"KTS","W",0,"FT",0,"XX","Calm","None",0,
"4066",7/24/2003 0:00:00,"0805","PST","MBC","Grab","Portunus","DGPS",32.00,"Overcast",2,"KTS","S",1,"M",10,"S","Calm","None",0,"Station is in the entrance channel to Alamitos Harbor."
"4067",8/25/2003 0:00:00,"0955","PST","MBC","Grab","Alguita","DGPS",,"Fog",7,"KTS","W",1,"M",3,"W","Choppy","None",0,
"4067",8/27/2003 0:00:00,"1504","PST","MBC","Trawl","Alguita","DGPS",,"Clear",12,"KTS","W",1,"M",3,"W","Choppy","H",1,"Torn net due to obstructions on ocean floor."
"4068",7/21/2003 0:00:00,"1028","PDT","CSD","Grab","Metro","DGPS",,"Overcast",12,"KTS","W",3,"FT",11,"NW","Choppy","None",0,
"4068",7/22/2003 0:00:00,"0947","PDT","CSD","Trawl","Monitor III","DGPS",,"Overcast",5,"KTS","NE",10,"FT",9,"W","Calm","None",0,"Station depth 182 m Lotek time: 11 min"
"4069",7/31/2003 0:00:00,"1006","PDT","CLAEMD","Grab","La Mer","DGPS",-99.00,"Clear",9,"KTS","W",1,"FT",12,"SW","Calm","None",0,
"4069",8/21/2003 0:00:00,"1024","PDT","CLAEMD","Trawl","La Mer","DGPS",-99.00,"Partly Cloudy",8,"KTS","SW",2,"FT",12,"SW","Calm","M",1,"Due to kelp beds cannot approach within 100m of coords"
"4069",8/21/2003 0:00:00,"1447","PDT","CLAEMD","Grab","La Mer","DGPS",-99.00,"Clear",15,"KTS","W",1,"FT",12,"SW","Calm","None",0,
"4070",8/20/2003 0:00:00,"1344","PDT","LACSD","Grab","Ocean Sentinel","DGPS",-99.00,"Haze",5,"KTS","W",1,"FT",6,"W","Calm","None",0,
"4070",8/27/2003 0:00:00,"1121","PDT","LACSD","Trawl","Ocean Sentinel","DGPS",-99.00,"Overcast",3,"KTS","W",1,"FT",7,"W","Calm","None",0,
"4071",8/4/2003 0:00:00,"1130","PDT","ABC","Trawl","Yellowfin","DGPS",,"Partly Cloudy",20,"KTS","NW",4,"FT",10,"SW","Choppy","None",0,
"4071",8/23/2003 0:00:00,"1507","PST","MBC","Grab","Alguita","DGPS",,"Clear",24,"KTS","W",1,"M",2,"W","Rough","None",0,
"4072",7/24/2003 0:00:00,"1235","PDT","MEC","Grab","MEC Avon","DGPS",32.85,"Overcast",4,"KTS","SW",0,"FT",0,"XX","Calm","None",0,"Original coordinates outside Santa Ana River, offset 60 m"
"4073",7/29/2003 0:00:00,"0927","PDT","OCSD","Grab","Enchanter IV","DGPS",-99.00,"Overcast",4,"KTS","E",1,"FT",10,"SW","Calm","None",0,
"4073",8/27/2003 0:00:00,"0939","PDT","OCSD","Trawl","Yellowfin","GPS",-99.00,"Overcast",0,"KTS","XX",2,"FT",10,"SW","Calm","None",0,
"4074",7/19/2003 0:00:00,"1246","PDT","CINMS","Grab","McArthur II","DGPS",,"Partly Cloudy",4,"KTS","SW",2,"FT",4,"W","Calm","None",0,"in water 12:47; at bottom 14 min; at surface 13:20; total 33 min; temp 49.1 F - not from full grab; this and preious grab switched then corrected"
"4075",8/18/2003 0:00:00,"1607","PDT","MEC","Grab","MEC Avon","DGPS",28.80,"Clear",6,"KTS","W",0,"FT",0,"XX","Calm","None",0,
"4076",7/18/2003 0:00:00,"1221","PDT","CSD","Grab","Metro","DGPS",,"Fog",3,"KTS","S",0,"FT",0,"XX","Calm","None",0,"Station located in the San Diego Yacht Club marina"
